neighbor__5024,neighbor__1421,neighbor__1426
156.9,70.63,44.32
142.12,66.7,30.7
113.48,60.02,41.85
108.18,56.12,34.4
88.02,53.95,38.52
72.75,53.05,43.95
77.95,55.67,49.38
111.57,60.43,57.22
125.4,49.65,60.97
103.22,44.53,46.17
136.67,37.15,33.67
135.55,24.97,14.65
118.12,27.43,7.73
90.47,26.22,6.2
83.77,34.78,14.32
78.75,56.98,42.13
68.92,78.35,62.6
83.43,92.93,92.95
123.65,82.03,106.02
97.23,72.8,101.0
114.25,78.08,97.43
140.85,81.98,94.85
140.8,58.65,93.73
126.82,30.95,75.93
110.75,39.7,76.33
84.0,45.78,60.57
62.85,45.32,45.9
54.88,44.27,50.95
56.73,36.52,52.85
55.38,43.5,54.98
79.3,60.17,59.07
114.2,50.85,84.53
138.55,32.7,67.42
166.92,27.32,126.27
153.92,19.9,91.1
130.83,22.15,82.68
110.4,21.93,52.98
86.2,15.12,51.18
85.08,19.5,103.08
86.1,39.62,144.25
166.53,49.23,126.22
121.67,65.5,127.15
132.1,77.0,116.38
159.97,48.3,107.48
178.92,29.08,82.1
193.55,22.6,85.15
173.4,53.08,63.1
148.62,58.93,62.4
88.23,61.17,54.05
81.95,64.2,44.82
79.35,60.15,40.68
78.72,54.93,38.05
87.0,54.5,31.6
121.45,62.32,22.4
146.8,75.98,31.08
137.5,81.3,48.62
127.65,52.1,31.43
109.1,37.33,21.72
74.62,32.75,17.07
66.85,25.68,10.15
57.62,28.72,11.15
66.75,34.8,24.25
81.88,44.7,66.0
118.85,63.75,84.72
155.3,69.95,64.9
151.45,71.33,51.0
141.33,64.15,38.28
132.95,59.35,34.6
120.12,52.45,32.15
87.98,51.32,26.93
71.32,45.6,15.08
54.65,31.65,6.45
51.68,30.05,4.45
61.1,27.4,7.6
97.0,21.18,5.77
104.12,24.98,7.47
102.35,27.82,10.88
104.57,40.2,14.6
109.2,48.23,16.2
99.5,62.0,13.55
82.08,65.5,15.35
81.67,70.82,15.3
89.23,76.8,20.75
90.4,72.55,32.15
101.27,75.5,41.62
159.9,84.65,54.3
162.02,81.43,57.1
162.87,85.47,60.88
144.28,78.4,59.85
132.28,76.98,57.98
96.0,78.48,51.15
72.43,76.5,49.7
68.85,76.32,43.97
67.95,48.1,37.55
57.75,37.13,27.2
91.3,36.47,22.35
106.65,31.75,29.15
96.8,30.93,26.95
89.1,27.12,26.65
91.45,28.7,30.22
87.83,28.1,38.58
99.15,25.88,55.18
110.62,26.73,64.62
117.47,18.63,72.05
103.5,12.3,67.0
86.68,9.45,81.6
103.05,8.6,91.43
108.88,11.93,57.3
113.7,26.47,60.05
103.6,53.85,64.32
102.7,61.8,67.75
108.23,63.2,64.3
93.27,60.0,63.1
95.08,58.07,62.3
99.45,49.8,62.7
99.15,49.83,57.62
93.6,48.2,52.93
120.5,41.7,35.45
116.02,45.57,13.53
113.18,29.28,4.65
110.6,29.4,5.93
97.75,29.15,19.27
74.62,26.3,14.67
68.12,27.92,24.68
73.65,32.8,30.05
71.53,43.23,8.0
78.7,50.0,12.25
94.88,37.9,6.7
101.08,25.13,0.1
88.35,24.57,6.53
82.55,54.32,28.65
89.58,66.78,43.8
111.78,66.68,44.47
81.53,77.05,41.38
79.1,60.15,38.8
74.38,49.7,29.8
77.47,53.65,26.6
78.6,48.45,19.7
82.98,36.72,23.7
109.6,34.38,17.42
88.45,26.92,19.25
85.18,22.3,15.72
78.05,23.38,11.73
51.25,21.28,10.4
43.65,20.78,13.05
56.82,25.2,13.95
75.45,42.1,27.92
85.4,48.22,30.4
134.42,51.78,23.3
165.62,54.4,18.05
109.0,24.28,13.7
100.08,31.65,28.55
91.02,38.0,34.78
89.52,72.68,80.22
110.18,72.53,81.0
116.62,82.35,75.07
52.48,26.52,19.9
61.4,27.02,20.15
68.55,29.4,23.05
78.75,34.45,29.35
120.18,31.02,11.22
127.57,22.15,6.58
104.55,18.73,4.4
82.28,15.38,1.4
67.97,15.55,4.85
50.3,16.38,19.45
68.05,34.83,61.68
102.6,49.35,68.72
62.12,28.82,18.27
60.08,22.62,23.92
68.97,27.9,24.75
90.52,33.7,23.12
107.4,38.32,11.6
98.05,29.3,6.45
89.75,26.3,7.28
83.45,23.67,9.78
73.1,19.88,5.55
45.4,20.7,4.6
41.68,20.23,5.92
50.3,30.12,16.25
74.92,55.4,62.32
97.6,110.6,78.57
120.02,111.68,71.5
137.32,111.07,56.35
128.6,102.15,44.8
125.87,87.08,48.98
94.38,57.98,26.4
88.38,58.88,19.12
90.0,49.88,18.25
86.05,44.75,11.85
57.02,35.1,8.43
45.97,33.28,4.9
45.12,33.4,5.28
49.88,36.3,8.82
48.3,57.48,21.45
67.75,91.55,75.42
139.82,105.4,83.43
152.5,101.75,80.55
156.18,106.42,69.82
136.62,107.62,79.18
122.88,97.7,53.65
93.68,105.62,45.97
72.8,41.85,31.6
61.78,22.75,14.82
58.02,28.88,15.22
53.25,33.1,30.83
48.12,30.92,17.12
75.57,36.65,46.98
79.32,106.3,120.12
107.88,86.35,114.02
106.35,67.82,116.4
82.72,55.3,111.25
124.98,47.53,109.5
96.4,20.17,90.62
100.85,67.65,75.42
97.35,77.72,57.68
103.43,65.3,70.82
126.4,94.35,69.55
117.6,89.3,55.92
106.68,72.1,46.85
107.45,91.05,49.68
97.75,88.25,49.35
123.18,80.05,98.68
105.28,77.15,111.38
89.0,51.2,166.2
104.88,25.98,63.8
94.1,46.78,72.18
74.43,71.2,35.52
78.32,38.03,16.77
87.0,22.08,18.88
111.02,14.4,18.12
100.65,33.72,10.92
89.52,51.05,13.82
88.85,87.65,21.3
95.58,138.72,42.6
94.4,146.3,41.5
76.7,131.38,34.78
69.3,96.45,25.45
69.53,88.2,23.02
74.9,83.25,15.12
80.05,75.45,12.52
108.98,52.48,9.07
107.22,39.3,6.32
86.4,30.9,7.1
80.42,27.85,7.6
63.75,34.1,14.62
47.28,32.62,16.6
46.32,34.17,20.1
48.55,39.55,11.88
48.62,45.8,3.48
49.55,40.48,2.85
66.95,205.0,2.35
70.08,29.2,3.38
61.47,22.05,4.88
55.8,38.75,42.7
85.4,62.58,51.28
78.3,78.47,59.8
85.65,78.08,60.68
84.68,72.18,40.15
105.18,62.38,26.72
111.48,44.08,18.0
92.1,42.72,10.77
81.5,42.42,14.9
65.18,31.45,12.4
55.92,23.98,14.02
50.45,19.25,22.38
56.68,20.6,20.27
63.55,26.4,20.72
66.9,35.02,18.92
69.68,42.98,12.45
83.72,44.82,12.7
78.68,43.3,11.77
72.07,37.4,6.82
65.25,31.85,7.65
63.28,31.6,10.18
47.55,32.88,13.62
49.82,39.72,19.2
65.0,50.75,38.88
85.45,76.55,66.03
103.68,95.48,65.68
119.93,99.35,63.02
141.85,85.5,64.18
134.18,72.5,56.9
116.3,65.62,52.7
100.82,60.05,44.28
90.32,58.38,42.1
60.98,46.35,46.58
54.05,50.08,42.88
48.12,60.65,18.5
47.25,58.62,43.6
82.7,33.4,38.65
90.25,35.72,53.9
86.72,37.92,66.18
80.62,36.6,67.8
74.28,37.43,52.58
68.0,39.25,46.42
68.82,58.92,57.82
97.88,97.3,105.1
122.45,93.2,104.52
129.43,97.42,97.65
133.07,95.05,119.1
122.3,62.32,101.3
103.72,47.32,99.5
85.82,38.33,85.68
68.15,71.25,74.32
63.35,70.95,49.32
65.78,70.78,49.22
70.25,57.0,41.92
93.08,54.32,44.1
95.48,59.6,40.35
146.52,110.15,66.72
188.27,149.98,65.45
136.6,108.78,32.3
49.38,98.98,14.95
46.88,92.28,12.08
49.85,58.65,13.12
55.55,66.2,32.32
89.52,111.52,66.55
129.95,124.93,79.2
125.93,139.5,71.53
120.0,124.9,70.2
110.58,150.88,64.9
116.93,111.98,55.97
101.09,90.3,40.95
118.93,81.18,30.42
104.72,72.38,28.3
92.71,64.03,23.45
77.93,60.92,28.83
87.64,51.98,32.9
82.3,50.5,28.8
75.6,47.03,19.3
35.26,55.5,21.72
65.33,72.32,26.0
70.78,57.6,27.58
62.09,48.88,21.65
32.76,44.45,18.5
24.86,38.0,15.78
23.22,34.98,14.0
35.73,32.4,15.18
87.75,39.92,31.55
105.42,77.5,70.12
166.4,102.08,84.6
152.0,115.25,78.8
132.73,110.02,78.03
113.95,95.35,73.4
104.02,81.4,62.82
94.1,79.5,54.7
85.62,74.98,47.15
78.82,73.38,46.55
87.32,58.4,34.22
98.05,54.95,34.2
97.62,50.35,38.7
91.4,50.02,44.0
86.55,57.32,47.32
92.12,62.78,60.95
109.5,62.2,41.7
81.05,60.45,26.5
58.45,59.12,11.68
51.25,40.88,7.62
49.15,38.12,8.38
57.72,35.75,11.7
63.72,48.05,11.7
66.47,56.02,32.8
80.3,76.95,80.62
107.18,65.0,88.4
126.48,84.95,98.72
102.4,95.48,92.78
81.62,111.12,91.48
98.22,123.7,96.12
105.7,117.95,104.4
93.25,81.07,79.4
120.92,50.75,63.88
101.48,57.42,68.85
89.35,69.82,62.5
83.5,68.88,47.78
80.57,67.3,43.3
67.82,76.92,54.53
89.22,87.15,107.08
107.12,38.95,108.7
106.78,69.75,107.57
100.52,45.58,79.43
149.3,74.9,94.45
143.07,43.28,54.32
94.38,21.42,27.18
84.28,28.02,20.2
81.9,32.78,40.17
76.12,48.75,78.32
66.72,81.47,107.45
97.82,31.3,118.62
96.88,30.2,128.4
108.62,48.18,134.2
146.18,69.4,122.55
