feature_time,neighbor__124,neighbor__1421,neighbor__5024,target_value,prediction_time
2019-01-01 00:00:00,49.08,70.63,156.9,44.32,2019-01-01 00:00:00
2019-01-01 01:00:00,52.18,66.7,142.12,30.7,2019-01-01 01:00:00
2019-01-01 03:00:00,51.48,60.02,113.48,41.85,2019-01-01 03:00:00
2019-01-01 04:00:00,46.3,56.12,108.18,34.4,2019-01-01 04:00:00
2019-01-01 05:00:00,42.53,53.95,88.02,38.52,2019-01-01 05:00:00
2019-01-01 06:00:00,41.27,53.05,72.75,43.95,2019-01-01 06:00:00
2019-01-01 07:00:00,47.35,55.67,77.95,49.38,2019-01-01 07:00:00
2019-01-01 08:00:00,53.0,60.43,111.57,57.22,2019-01-01 08:00:00
2019-01-01 09:00:00,47.25,49.65,125.4,60.97,2019-01-01 09:00:00
2019-01-01 10:00:00,42.53,44.53,103.22,46.17,2019-01-01 10:00:00
2019-01-01 11:00:00,34.18,37.15,136.67,33.67,2019-01-01 11:00:00
2019-01-01 12:00:00,31.32,24.97,135.55,14.65,2019-01-01 12:00:00
2019-01-01 13:00:00,26.8,27.43,118.12,7.73,2019-01-01 13:00:00
2019-01-01 14:00:00,25.57,26.22,90.47,6.2,2019-01-01 14:00:00
2019-01-01 15:00:00,28.22,34.78,83.77,14.32,2019-01-01 15:00:00
2019-01-01 16:00:00,33.02,56.98,78.75,42.13,2019-01-01 16:00:00
2019-01-01 17:00:00,56.07,78.35,68.92,62.6,2019-01-01 17:00:00
2019-01-01 18:00:00,66.32,92.93,83.43,92.95,2019-01-01 18:00:00
2019-01-01 19:00:00,82.28,82.03,123.65,106.02,2019-01-01 19:00:00
2019-01-01 20:00:00,80.82,72.8,97.23,101.0,2019-01-01 20:00:00
2019-01-01 21:00:00,72.05,78.08,114.25,97.43,2019-01-01 21:00:00
2019-01-01 22:00:00,63.47,81.98,140.85,94.85,2019-01-01 22:00:00
2019-01-01 23:00:00,53.6,58.65,140.8,93.73,2019-01-01 23:00:00
2019-01-02 00:00:00,43.75,30.95,126.82,75.93,2019-01-02 00:00:00
2019-01-02 01:00:00,43.02,39.7,110.75,76.33,2019-01-02 01:00:00
2019-01-02 03:00:00,34.07,45.78,84.0,60.57,2019-01-02 03:00:00
2019-01-02 04:00:00,28.0,45.32,62.85,45.9,2019-01-02 04:00:00
2019-01-02 05:00:00,22.15,44.27,54.88,50.95,2019-01-02 05:00:00
2019-01-02 06:00:00,21.0,36.52,56.73,52.85,2019-01-02 06:00:00
2019-01-02 07:00:00,22.67,43.5,55.38,54.98,2019-01-02 07:00:00
2019-01-02 08:00:00,41.5,60.17,79.3,59.07,2019-01-02 08:00:00
2019-01-02 09:00:00,90.52,50.85,114.2,84.53,2019-01-02 09:00:00
2019-01-02 10:00:00,77.05,32.7,138.55,67.42,2019-01-02 10:00:00
2019-01-02 11:00:00,46.88,27.32,166.92,126.27,2019-01-02 11:00:00
2019-01-02 12:00:00,32.72,19.9,153.92,91.1,2019-01-02 12:00:00
2019-01-02 13:00:00,36.85,22.15,130.83,82.68,2019-01-02 13:00:00
2019-01-02 14:00:00,30.78,21.93,110.4,52.98,2019-01-02 14:00:00
2019-01-02 15:00:00,22.95,15.12,86.2,51.18,2019-01-02 15:00:00
2019-01-02 16:00:00,27.42,19.5,85.08,103.08,2019-01-02 16:00:00
2019-01-02 17:00:00,67.0,39.62,86.1,144.25,2019-01-02 17:00:00
2019-01-02 18:00:00,72.6,49.23,166.53,126.22,2019-01-02 18:00:00
2019-01-02 19:00:00,72.6,65.5,121.67,127.15,2019-01-02 19:00:00
2019-01-02 20:00:00,66.82,77.0,132.1,116.38,2019-01-02 20:00:00
2019-01-02 21:00:00,61.8,48.3,159.97,107.48,2019-01-02 21:00:00
2019-01-02 22:00:00,64.25,29.08,178.92,82.1,2019-01-02 22:00:00
2019-01-02 23:00:00,51.33,22.6,193.55,85.15,2019-01-02 23:00:00
2019-01-03 00:00:00,38.3,53.08,173.4,63.1,2019-01-03 00:00:00
2019-01-03 01:00:00,39.57,58.93,148.62,62.4,2019-01-03 01:00:00
2019-01-03 03:00:00,70.1,61.17,88.23,54.05,2019-01-03 03:00:00
2019-01-03 04:00:00,64.55,64.2,81.95,44.82,2019-01-03 04:00:00
2019-01-03 05:00:00,59.15,60.15,79.35,40.68,2019-01-03 05:00:00
2019-01-03 06:00:00,62.52,54.93,78.72,38.05,2019-01-03 06:00:00
2019-01-03 07:00:00,60.42,54.5,87.0,31.6,2019-01-03 07:00:00
2019-01-03 08:00:00,70.2,62.32,121.45,22.4,2019-01-03 08:00:00
2019-01-03 09:00:00,81.5,75.98,146.8,31.08,2019-01-03 09:00:00
2019-01-03 10:00:00,72.72,81.3,137.5,48.62,2019-01-03 10:00:00
2019-01-03 11:00:00,63.25,52.1,127.65,31.43,2019-01-03 11:00:00
2019-01-03 12:00:00,53.7,37.33,109.1,21.72,2019-01-03 12:00:00
2019-01-03 13:00:00,37.93,32.75,74.62,17.07,2019-01-03 13:00:00
2019-01-03 14:00:00,33.77,25.68,66.85,10.15,2019-01-03 14:00:00
2019-01-03 15:00:00,30.83,28.72,57.62,11.15,2019-01-03 15:00:00
2019-01-03 16:00:00,35.8,34.8,66.75,24.25,2019-01-03 16:00:00
2019-01-03 17:00:00,58.93,44.7,81.88,66.0,2019-01-03 17:00:00
2019-01-03 18:00:00,82.48,63.75,118.85,84.72,2019-01-03 18:00:00
2019-01-03 19:00:00,86.1,69.95,155.3,64.9,2019-01-03 19:00:00
2019-01-03 20:00:00,86.57,71.33,151.45,51.0,2019-01-03 20:00:00
2019-01-03 21:00:00,74.9,64.15,141.33,38.28,2019-01-03 21:00:00
2019-01-03 22:00:00,65.9,59.35,132.95,34.6,2019-01-03 22:00:00
2019-01-03 23:00:00,60.47,52.45,120.12,32.15,2019-01-03 23:00:00
2019-01-04 00:00:00,52.27,51.32,87.98,26.93,2019-01-04 00:00:00
2019-01-04 01:00:00,46.75,45.6,71.32,15.08,2019-01-04 01:00:00
2019-01-04 03:00:00,38.4,31.65,54.65,6.45,2019-01-04 03:00:00
2019-01-04 04:00:00,34.1,30.05,51.68,4.45,2019-01-04 04:00:00
2019-01-04 05:00:00,33.15,27.4,61.1,7.6,2019-01-04 05:00:00
2019-01-04 06:00:00,32.63,21.18,97.0,5.77,2019-01-04 06:00:00
2019-01-04 07:00:00,29.73,24.98,104.12,7.47,2019-01-04 07:00:00
2019-01-04 08:00:00,35.0,27.82,102.35,10.88,2019-01-04 08:00:00
2019-01-04 09:00:00,38.2,40.2,104.57,14.6,2019-01-04 09:00:00
2019-01-04 10:00:00,48.3,48.23,109.2,16.2,2019-01-04 10:00:00
2019-01-04 11:00:00,57.7,62.0,99.5,13.55,2019-01-04 11:00:00
2019-01-04 12:00:00,63.55,65.5,82.08,15.35,2019-01-04 12:00:00
2019-01-04 13:00:00,66.45,70.82,81.67,15.3,2019-01-04 13:00:00
2019-01-04 14:00:00,61.88,76.8,89.23,20.75,2019-01-04 14:00:00
2019-01-04 15:00:00,70.6,72.55,90.4,32.15,2019-01-04 15:00:00
2019-01-04 16:00:00,74.88,75.5,101.27,41.62,2019-01-04 16:00:00
2019-01-04 17:00:00,77.55,84.65,159.9,54.3,2019-01-04 17:00:00
2019-01-04 18:00:00,80.08,81.43,162.02,57.1,2019-01-04 18:00:00
2019-01-04 19:00:00,83.35,85.47,162.87,60.88,2019-01-04 19:00:00
2019-01-04 20:00:00,78.27,78.4,144.28,59.85,2019-01-04 20:00:00
2019-01-04 21:00:00,77.9,76.98,132.28,57.98,2019-01-04 21:00:00
2019-01-04 22:00:00,79.48,78.48,96.0,51.15,2019-01-04 22:00:00
2019-01-04 23:00:00,62.53,76.5,72.43,49.7,2019-01-04 23:00:00
2019-01-05 00:00:00,56.35,76.32,68.85,43.97,2019-01-05 00:00:00
2019-01-05 01:00:00,52.23,48.1,67.95,37.55,2019-01-05 01:00:00
2019-01-05 03:00:00,34.9,37.13,57.75,27.2,2019-01-05 03:00:00
2019-01-05 04:00:00,30.92,36.47,91.3,22.35,2019-01-05 04:00:00
2019-01-05 05:00:00,26.55,31.75,106.65,29.15,2019-01-05 05:00:00
2019-01-05 06:00:00,26.0,30.93,96.8,26.95,2019-01-05 06:00:00
2019-01-05 07:00:00,29.3,27.12,89.1,26.65,2019-01-05 07:00:00
2019-01-05 08:00:00,39.1,28.7,91.45,30.22,2019-01-05 08:00:00
2019-01-05 09:00:00,78.25,28.1,87.83,38.58,2019-01-05 09:00:00
2019-01-05 10:00:00,58.3,25.88,99.15,55.18,2019-01-05 10:00:00
2019-01-05 11:00:00,39.35,26.73,110.62,64.62,2019-01-05 11:00:00
2019-01-05 12:00:00,35.82,18.63,117.47,72.05,2019-01-05 12:00:00
2019-01-05 13:00:00,35.0,12.3,103.5,67.0,2019-01-05 13:00:00
2019-01-05 14:00:00,36.68,9.45,86.68,81.6,2019-01-05 14:00:00
2019-01-05 15:00:00,37.85,8.6,103.05,91.43,2019-01-05 15:00:00
2019-01-05 16:00:00,42.03,11.93,108.88,57.3,2019-01-05 16:00:00
2019-01-05 17:00:00,75.58,26.47,113.7,60.05,2019-01-05 17:00:00
2019-01-05 18:00:00,79.25,53.85,103.6,64.32,2019-01-05 18:00:00
2019-01-05 19:00:00,76.65,61.8,102.7,67.75,2019-01-05 19:00:00
2019-01-05 20:00:00,77.85,63.2,108.23,64.3,2019-01-05 20:00:00
2019-01-05 21:00:00,72.75,60.0,93.27,63.1,2019-01-05 21:00:00
2019-01-05 22:00:00,70.7,58.07,95.08,62.3,2019-01-05 22:00:00
2019-01-05 23:00:00,64.48,49.8,99.45,62.7,2019-01-05 23:00:00
2019-01-06 00:00:00,68.92,49.83,99.15,57.62,2019-01-06 00:00:00
2019-01-06 01:00:00,60.62,48.2,93.6,52.93,2019-01-06 01:00:00
2019-01-06 03:00:00,56.22,41.7,120.5,35.45,2019-01-06 03:00:00
2019-01-06 04:00:00,54.62,45.57,116.02,13.53,2019-01-06 04:00:00
2019-01-06 05:00:00,33.3,29.28,113.18,4.65,2019-01-06 05:00:00
2019-01-06 06:00:00,37.47,29.4,110.6,5.93,2019-01-06 06:00:00
2019-01-06 07:00:00,38.02,29.15,97.75,19.27,2019-01-06 07:00:00
2019-01-06 08:00:00,40.33,26.3,74.62,14.67,2019-01-06 08:00:00
2019-01-06 09:00:00,43.38,27.92,68.12,24.68,2019-01-06 09:00:00
2019-01-06 10:00:00,47.05,32.8,73.65,30.05,2019-01-06 10:00:00
2019-01-06 11:00:00,53.27,43.23,71.53,8.0,2019-01-06 11:00:00
