neighbor__124,neighbor__1421,neighbor__1426
655.5,360.0,271.75
583.5,312.0,250.5
351.5,287.0,249.25
319.75,289.0,261.0
269.25,285.0,272.5
260.75,263.0,285.25
288.5,244.0,286.25
337.0,233.0,325.25
369.75,268.0,353.25
290.5,240.0,391.5
201.75,226.0,311.0
134.0,164.0,287.0
72.25,112.0,227.25
82.25,91.0,153.5
77.75,67.0,147.5
96.5,67.0,149.75
121.0,77.0,145.25
166.5,80.0,181.25
327.75,202.0,282.25
483.5,205.0,341.25
550.5,245.0,381.5
494.75,318.0,365.5
459.25,374.0,471.25
439.0,323.0,451.25
449.5,296.0,417.0
423.25,333.0,351.0
367.75,306.0,349.25
316.25,285.0,364.5
322.0,257.0,374.5
348.0,259.0,388.25
410.75,291.0,412.5
458.0,316.0,418.5
324.25,302.0,385.5
279.5,243.0,381.0
195.0,224.0,259.0
147.75,171.0,242.0
181.0,171.0,193.25
162.5,156.0,196.25
161.5,130.0,200.25
197.75,140.0,241.25
248.75,144.0,227.25
408.75,138.0,271.0
665.75,160.0,419.5
788.75,234.0,489.25
813.0,241.0,504.75
485.5,202.0,447.5
436.5,189.0,425.25
406.75,280.0,373.25
411.0,304.0,354.5
399.75,316.0,335.5
375.5,354.5,325.25
438.25,409.25,323.5
449.25,422.5,335.0
425.0,438.5,279.5
438.25,427.5,214.75
407.0,418.25,321.0
381.25,364.25,387.5
268.75,248.75,405.75
184.5,166.75,316.0
177.25,131.5,274.75
193.25,140.0,183.5
167.25,146.5,165.0
197.25,145.75,233.5
212.5,207.0,293.0
256.75,263.5,376.25
315.5,314.0,388.25
323.25,333.0,342.75
322.0,320.5,314.75
315.75,296.75,291.5
325.0,288.0,277.0
339.5,297.0,262.5
294.25,262.0,152.75
280.75,269.5,144.25
203.75,250.25,134.75
175.5,194.0,123.5
155.75,155.75,127.0
171.0,154.0,122.0
217.0,179.25,117.5
219.75,210.25,132.0
249.5,209.5,170.25
241.0,205.75,195.5
192.5,210.75,193.25
212.5,216.75,186.75
187.5,201.0,204.75
173.25,169.25,213.5
212.25,156.75,212.75
277.5,171.75,237.25
448.0,215.0,288.25
491.0,241.5,428.0
460.0,200.75,505.25
554.75,277.25,494.0
500.5,443.0,413.25
508.5,417.75,319.25
485.25,424.5,274.0
407.25,312.0,280.75
357.5,307.75,303.0
293.25,289.0,355.25
288.5,263.5,463.25
317.5,240.75,285.5
398.75,244.25,269.0
425.5,250.25,268.5
261.25,218.75,308.75
205.25,181.0,361.0
131.5,158.75,344.0
82.0,123.5,195.0
111.0,110.25,123.5
94.0,108.75,136.75
118.75,99.0,120.75
156.75,101.5,130.5
162.5,148.25,141.75
201.5,193.5,170.25
294.5,229.75,211.25
405.25,256.0,260.25
419.75,238.75,261.0
400.0,232.25,264.25
388.0,205.75,271.25
313.5,206.25,260.25
244.5,211.5,288.25
230.75,210.75,258.75
183.5,209.0,150.25
166.5,184.25,93.5
120.25,135.25,79.5
106.5,99.5,74.0
138.25,86.25,98.0
124.25,87.5,134.5
132.75,123.25,151.5
126.5,148.75,110.25
118.75,156.0,85.75
125.25,141.75,78.75
149.5,132.0,99.0
166.5,126.25,100.25
199.25,140.25,77.25
232.25,162.25,99.0
271.0,217.25,164.5
194.5,278.0,174.5
164.5,200.25,196.0
169.5,158.75,226.0
174.75,166.75,183.5
199.5,165.0,161.25
225.5,159.5,147.0
171.5,146.25,124.25
176.5,153.0,115.25
157.0,174.0,113.0
182.25,181.0,118.0
206.25,184.5,137.0
218.0,216.25,147.5
228.0,216.75,148.25
212.25,182.25,204.0
212.75,161.0,319.25
221.0,201.5,292.25
151.0,174.75,127.25
149.75,123.25,122.75
132.25,149.0,133.75
96.0,138.0,130.75
141.75,136.5,142.25
234.0,207.5,225.0
165.5,136.25,140.25
199.0,148.25,143.5
239.0,167.75,143.25
287.25,184.0,172.0
267.0,188.25,167.25
188.25,141.25,164.0
126.5,95.0,132.25
111.0,92.25,79.75
106.75,79.0,64.0
103.5,66.25,66.5
125.25,78.5,82.5
105.0,109.25,119.25
169.0,160.75,143.0
186.75,165.0,145.0
238.0,186.75,158.25
243.5,179.5,152.5
254.0,175.25,147.75
169.5,153.5,130.25
122.5,107.5,104.25
75.25,85.25,92.25
21.75,64.75,77.25
38.0,54.0,62.75
63.25,50.25,52.25
75.0,47.75,51.25
96.5,49.75,60.0
97.0,79.5,89.75
122.75,150.0,162.75
119.0,171.75,233.75
110.75,195.5,187.5
167.0,232.0,191.0
210.5,135.25,211.0
224.25,146.75,236.25
172.0,125.75,213.5
124.25,95.5,182.5
87.0,73.75,149.25
32.75,56.5,93.5
61.0,53.5,77.5
86.0,57.75,80.0
70.5,57.0,79.75
94.25,59.25,75.5
135.75,81.75,111.25
325.25,153.75,186.0
436.25,243.75,228.75
376.0,316.25,221.25
492.5,405.75,282.5
328.0,288.25,291.5
302.0,228.25,300.75
184.5,133.5,220.25
73.0,97.0,114.0
104.0,104.25,87.25
140.75,141.25,108.0
171.75,137.25,117.25
201.75,153.25,138.5
223.0,160.25,171.25
366.25,150.25,190.75
560.5,147.75,292.75
676.5,158.0,369.5
876.0,158.0,394.25
811.25,164.75,541.0
617.0,267.5,545.25
498.0,353.0,419.5
357.0,288.0,372.75
349.5,313.0,353.5
331.5,316.0,343.25
354.0,298.0,337.5
393.5,265.0,325.5
524.5,271.0,355.0
641.75,249.0,372.25
376.25,233.0,379.75
297.5,190.0,403.5
230.0,164.0,282.0
302.0,326.0,241.0
273.75,245.0,225.25
217.5,241.0,191.75
165.0,190.0,181.75
158.75,147.0,186.75
179.5,156.0,177.25
233.5,147.0,188.75
274.75,223.0,228.75
259.5,260.0,252.75
303.0,326.0,242.75
327.25,374.0,188.5
253.0,246.0,137.0
219.25,221.0,132.75
209.75,216.0,108.0
162.5,219.0,93.5
149.25,113.0,77.5
94.75,99.0,72.0
79.25,89.0,68.75
45.75,96.0,62.5
81.5,92.0,80.5
98.75,97.0,113.75
139.5,112.0,155.0
192.75,136.0,167.0
168.0,136.0,113.75
81.25,102.0,84.0
47.5,52.0,66.5
16.0,55.0,57.5
93.75,57.75,53.0
76.5,74.25,73.5
87.25,106.5,98.5
102.5,138.5,129.75
98.25,166.25,146.25
114.5,154.75,143.75
102.5,117.5,138.0
102.75,86.0,121.25
133.0,81.25,117.25
113.0,117.5,98.25
145.0,139.5,125.75
109.25,138.0,130.25
142.0,143.0,119.0
126.0,114.0,159.5
130.25,100.0,170.5
168.75,103.0,177.5
138.5,108.0,166.5
138.75,92.0,156.5
111.25,100.0,124.5
45.75,91.0,81.0
65.25,75.0,68.0
73.75,64.0,76.5
79.0,69.0,77.0
100.0,78.0,80.5
106.25,99.0,104.0
134.25,150.0,142.5
162.0,197.0,189.5
271.25,226.75,210.0
332.0,230.0,242.0
381.75,214.0,292.5
333.0,228.25,305.0
288.0,200.25,315.5
252.5,222.0,315.5
240.25,216.75,303.5
207.5,236.0,312.5
233.0,238.75,335.5
260.0,225.0,164.5
230.0,156.5,160.5
148.25,160.25,156.5
179.0,165.25,185.0
193.25,159.25,212.5
192.0,155.25,221.0
216.75,159.5,216.0
241.75,191.0,206.5
378.5,208.0,253.0
453.25,240.5,316.5
576.75,285.75,385.5
654.75,323.0,454.0
629.25,246.0,488.0
638.5,218.25,505.0
558.75,268.75,527.5
406.75,508.0,390.5
387.75,423.0,365.0
354.75,437.0,350.5
459.0,438.0,360.5
577.0,406.0,347.0
598.75,510.0,371.5
