feature_time,neighbor__5024,neighbor__1421,neighbor__1426,target_value,prediction_time
2019-01-01 00:00:00,156.9,70.63,44.32,49.08,2019-01-01 00:00:00
2019-01-01 01:00:00,142.12,66.7,30.7,52.18,2019-01-01 01:00:00
2019-01-01 03:00:00,113.48,60.02,41.85,51.48,2019-01-01 03:00:00
2019-01-01 04:00:00,108.18,56.12,34.4,46.3,2019-01-01 04:00:00
2019-01-01 05:00:00,88.02,53.95,38.52,42.53,2019-01-01 05:00:00
2019-01-01 06:00:00,72.75,53.05,43.95,41.27,2019-01-01 06:00:00
2019-01-01 07:00:00,77.95,55.67,49.38,47.35,2019-01-01 07:00:00
2019-01-01 08:00:00,111.57,60.43,57.22,53.0,2019-01-01 08:00:00
2019-01-01 09:00:00,125.4,49.65,60.97,47.25,2019-01-01 09:00:00
2019-01-01 10:00:00,103.22,44.53,46.17,42.53,2019-01-01 10:00:00
2019-01-01 11:00:00,136.67,37.15,33.67,34.18,2019-01-01 11:00:00
2019-01-01 12:00:00,135.55,24.97,14.65,31.32,2019-01-01 12:00:00
2019-01-01 13:00:00,118.12,27.43,7.73,26.8,2019-01-01 13:00:00
2019-01-01 14:00:00,90.47,26.22,6.2,25.57,2019-01-01 14:00:00
2019-01-01 15:00:00,83.77,34.78,14.32,28.22,2019-01-01 15:00:00
2019-01-01 16:00:00,78.75,56.98,42.13,33.02,2019-01-01 16:00:00
2019-01-01 17:00:00,68.92,78.35,62.6,56.07,2019-01-01 17:00:00
2019-01-01 18:00:00,83.43,92.93,92.95,66.32,2019-01-01 18:00:00
2019-01-01 19:00:00,123.65,82.03,106.02,82.28,2019-01-01 19:00:00
2019-01-01 20:00:00,97.23,72.8,101.0,80.82,2019-01-01 20:00:00
2019-01-01 21:00:00,114.25,78.08,97.43,72.05,2019-01-01 21:00:00
2019-01-01 22:00:00,140.85,81.98,94.85,63.47,2019-01-01 22:00:00
2019-01-01 23:00:00,140.8,58.65,93.73,53.6,2019-01-01 23:00:00
