station_id,column,missing_before,missing_after,method,selected_features
__all__,NO2 (µg/m³),8010,0,drop_rows,
__all__,PM2.5 (µg/m³),9068,0,drop_rows,
__all__,RH (%),5332,931,,
__all__,WS (m/s),46942,41407,,
124,NO2 (µg/m³),2169,0,drop_rows,
124,PM2.5 (µg/m³),3580,0,drop_rows,
124,RH (%),1141,39,,
124,WS (m/s),1130,30,,
1421,NO2 (µg/m³),2390,0,drop_rows,
1421,PM2.5 (µg/m³),2011,0,drop_rows,
1421,RH (%),590,19,,
1421,WS (m/s),659,36,,
1426,NO2 (µg/m³),1515,0,drop_rows,
1426,PM2.5 (µg/m³),1441,0,drop_rows,
1426,RH (%),2057,809,,
1426,WS (m/s),1329,62,,
5024,NO2 (µg/m³),1936,0,drop_rows,
5024,PM2.5 (µg/m³),2036,0,drop_rows,
5024,RH (%),1544,64,,
5024,WS (m/s),43824,41279,,
