neighbor__124,neighbor__1421,neighbor__1426
49.08,70.63,44.32
52.18,66.7,30.7
51.48,60.02,41.85
46.3,56.12,34.4
42.53,53.95,38.52
41.27,53.05,43.95
47.35,55.67,49.38
53.0,60.43,57.22
47.25,49.65,60.97
42.53,44.53,46.17
34.18,37.15,33.67
31.32,24.97,14.65
26.8,27.43,7.73
25.57,26.22,6.2
28.22,34.78,14.32
33.02,56.98,42.13
56.07,78.35,62.6
66.32,92.93,92.95
82.28,82.03,106.02
80.82,72.8,101.0
72.05,78.08,97.43
63.47,81.98,94.85
53.6,58.65,93.73
43.75,30.95,75.93
43.02,39.7,76.33
34.07,45.78,60.57
28.0,45.32,45.9
22.15,44.27,50.95
21.0,36.52,52.85
22.67,43.5,54.98
41.5,60.17,59.07
90.52,50.85,84.53
77.05,32.7,67.42
46.88,27.32,126.27
32.72,19.9,91.1
36.85,22.15,82.68
30.78,21.93,52.98
22.95,15.12,51.18
27.42,19.5,103.08
67.0,39.62,144.25
72.6,49.23,126.22
72.6,65.5,127.15
66.82,77.0,116.38
61.8,48.3,107.48
64.25,29.08,82.1
51.33,22.6,85.15
38.3,53.08,63.1
39.57,58.93,62.4
70.1,61.17,54.05
64.55,64.2,44.82
59.15,60.15,40.68
62.52,54.93,38.05
60.42,54.5,31.6
70.2,62.32,22.4
81.5,75.98,31.08
72.72,81.3,48.62
63.25,52.1,31.43
53.7,37.33,21.72
37.93,32.75,17.07
33.77,25.68,10.15
30.83,28.72,11.15
35.8,34.8,24.25
58.93,44.7,66.0
82.48,63.75,84.72
86.1,69.95,64.9
86.57,71.33,51.0
74.9,64.15,38.28
65.9,59.35,34.6
60.47,52.45,32.15
52.27,51.32,26.93
46.75,45.6,15.08
38.4,31.65,6.45
34.1,30.05,4.45
33.15,27.4,7.6
32.63,21.18,5.77
29.73,24.98,7.47
35.0,27.82,10.88
38.2,40.2,14.6
48.3,48.23,16.2
57.7,62.0,13.55
63.55,65.5,15.35
66.45,70.82,15.3
61.88,76.8,20.75
70.6,72.55,32.15
74.88,75.5,41.62
77.55,84.65,54.3
80.08,81.43,57.1
83.35,85.47,60.88
78.27,78.4,59.85
77.9,76.98,57.98
79.48,78.48,51.15
62.53,76.5,49.7
56.35,76.32,43.97
52.23,48.1,37.55
34.9,37.13,27.2
30.92,36.47,22.35
26.55,31.75,29.15
26.0,30.93,26.95
29.3,27.12,26.65
39.1,28.7,30.22
78.25,28.1,38.58
58.3,25.88,55.18
39.35,26.73,64.62
35.82,18.63,72.05
35.0,12.3,67.0
36.68,9.45,81.6
37.85,8.6,91.43
42.03,11.93,57.3
75.58,26.47,60.05
79.25,53.85,64.32
76.65,61.8,67.75
77.85,63.2,64.3
72.75,60.0,63.1
70.7,58.07,62.3
64.48,49.8,62.7
68.92,49.83,57.62
60.62,48.2,52.93
56.22,41.7,35.45
54.62,45.57,13.53
33.3,29.28,4.65
37.47,29.4,5.93
38.02,29.15,19.27
40.33,26.3,14.67
43.38,27.92,24.68
47.05,32.8,30.05
53.27,43.23,8.0
54.55,50.0,12.25
51.9,37.9,6.7
51.48,25.13,0.1
53.32,24.57,6.53
61.2,54.32,28.65
69.0,66.78,43.8
74.3,66.68,44.47
70.55,77.05,41.38
68.05,60.15,38.8
62.1,49.7,29.8
52.33,53.65,26.6
39.6,48.45,19.7
34.3,36.72,23.7
33.48,34.38,17.42
30.3,26.92,19.25
28.72,22.3,15.72
31.6,23.38,11.73
39.0,21.28,10.4
36.05,20.78,13.05
40.83,25.2,13.95
53.58,42.1,27.92
73.43,48.22,30.4
64.93,51.78,23.3
61.9,54.4,18.05
46.02,24.28,13.7
42.0,31.65,28.55
54.22,38.0,34.78
75.15,72.68,80.22
