neighbor__5024,neighbor__1421,neighbor__1426
361.5,360.0,271.75
348.0,312.0,250.5
276.5,287.0,249.25
295.0,289.0,261.0
346.0,285.0,272.5
359.5,263.0,285.25
351.5,244.0,286.25
404.5,233.0,325.25
451.0,268.0,353.25
424.0,240.0,391.5
369.5,226.0,311.0
329.0,164.0,287.0
309.0,112.0,227.25
239.0,91.0,153.5
127.25,67.0,147.5
136.0,67.0,149.75
171.5,77.0,145.25
180.75,80.0,181.25
221.25,202.0,282.25
316.0,205.0,341.25
300.75,245.0,381.5
377.25,318.0,365.5
442.25,374.0,471.25
422.5,323.0,451.25
387.75,296.0,417.0
317.25,333.0,351.0
315.0,306.0,349.25
329.0,285.0,364.5
324.25,257.0,374.5
345.0,259.0,388.25
351.25,291.0,412.5
395.0,316.0,418.5
445.75,302.0,385.5
473.25,243.0,381.0
485.5,224.0,259.0
322.75,171.0,242.0
230.25,171.0,193.25
193.0,156.0,196.25
200.0,130.0,200.25
192.0,140.0,241.25
243.0,144.0,227.25
321.75,138.0,271.0
289.5,160.0,419.5
314.5,234.0,489.25
410.5,241.0,504.75
503.25,202.0,447.5
498.25,189.0,425.25
566.25,280.0,373.25
420.25,304.0,354.5
409.5,316.0,335.5
385.75,354.5,325.25
356.25,409.25,323.5
337.25,422.5,335.0
353.0,438.5,279.5
375.5,427.5,214.75
453.25,418.25,321.0
542.0,364.25,387.5
424.75,248.75,405.75
283.5,166.75,316.0
269.75,131.5,274.75
188.25,140.0,183.5
174.5,146.5,165.0
225.5,145.75,233.5
308.5,207.0,293.0
354.75,263.5,376.25
366.5,314.0,388.25
358.5,333.0,342.75
343.75,320.5,314.75
319.25,296.75,291.5
291.5,288.0,277.0
282.0,297.0,262.5
183.0,262.0,152.75
164.0,269.5,144.25
149.75,250.25,134.75
140.75,194.0,123.5
135.0,155.75,127.0
140.75,154.0,122.0
151.75,179.25,117.5
177.25,210.25,132.0
234.0,209.5,170.25
242.5,205.75,195.5
217.75,210.75,193.25
206.25,216.75,186.75
220.0,201.0,204.75
219.25,169.25,213.5
223.5,156.75,212.75
244.25,171.75,237.25
276.5,215.0,288.25
316.5,241.5,428.0
286.5,200.75,505.25
288.0,277.25,494.0
293.75,443.0,413.25
293.0,417.75,319.25
265.75,424.5,274.0
246.25,312.0,280.75
251.0,307.75,303.0
288.75,289.0,355.25
275.0,263.5,463.25
234.0,240.75,285.5
207.25,244.25,269.0
232.5,250.25,268.5
257.25,218.75,308.75
327.0,181.0,361.0
322.0,158.75,344.0
166.5,123.5,195.0
138.5,110.25,123.5
124.25,108.75,136.75
