feature_time,neighbor__124,neighbor__1421,neighbor__5024,target_value,prediction_time
2019-01-01 00:00:00,655.5,360.0,361.5,271.75,2019-01-01 00:00:00
2019-01-01 01:00:00,583.5,312.0,348.0,250.5,2019-01-01 01:00:00
2019-01-01 03:00:00,351.5,287.0,276.5,249.25,2019-01-01 03:00:00
2019-01-01 04:00:00,319.75,289.0,295.0,261.0,2019-01-01 04:00:00
2019-01-01 05:00:00,269.25,285.0,346.0,272.5,2019-01-01 05:00:00
2019-01-01 06:00:00,260.75,263.0,359.5,285.25,2019-01-01 06:00:00
2019-01-01 07:00:00,288.5,244.0,351.5,286.25,2019-01-01 07:00:00
2019-01-01 08:00:00,337.0,233.0,404.5,325.25,2019-01-01 08:00:00
2019-01-01 09:00:00,369.75,268.0,451.0,353.25,2019-01-01 09:00:00
2019-01-01 10:00:00,290.5,240.0,424.0,391.5,2019-01-01 10:00:00
2019-01-01 11:00:00,201.75,226.0,369.5,311.0,2019-01-01 11:00:00
2019-01-01 12:00:00,134.0,164.0,329.0,287.0,2019-01-01 12:00:00
2019-01-01 13:00:00,72.25,112.0,309.0,227.25,2019-01-01 13:00:00
2019-01-01 14:00:00,82.25,91.0,239.0,153.5,2019-01-01 14:00:00
2019-01-01 15:00:00,77.75,67.0,127.25,147.5,2019-01-01 15:00:00
2019-01-01 16:00:00,96.5,67.0,136.0,149.75,2019-01-01 16:00:00
2019-01-01 17:00:00,121.0,77.0,171.5,145.25,2019-01-01 17:00:00
2019-01-01 18:00:00,166.5,80.0,180.75,181.25,2019-01-01 18:00:00
2019-01-01 19:00:00,327.75,202.0,221.25,282.25,2019-01-01 19:00:00
2019-01-01 20:00:00,483.5,205.0,316.0,341.25,2019-01-01 20:00:00
2019-01-01 21:00:00,550.5,245.0,300.75,381.5,2019-01-01 21:00:00
2019-01-01 22:00:00,494.75,318.0,377.25,365.5,2019-01-01 22:00:00
2019-01-01 23:00:00,459.25,374.0,442.25,471.25,2019-01-01 23:00:00
2019-01-02 00:00:00,439.0,323.0,422.5,451.25,2019-01-02 00:00:00
2019-01-02 01:00:00,449.5,296.0,387.75,417.0,2019-01-02 01:00:00
2019-01-02 03:00:00,423.25,333.0,317.25,351.0,2019-01-02 03:00:00
2019-01-02 04:00:00,367.75,306.0,315.0,349.25,2019-01-02 04:00:00
2019-01-02 05:00:00,316.25,285.0,329.0,364.5,2019-01-02 05:00:00
2019-01-02 06:00:00,322.0,257.0,324.25,374.5,2019-01-02 06:00:00
2019-01-02 07:00:00,348.0,259.0,345.0,388.25,2019-01-02 07:00:00
2019-01-02 08:00:00,410.75,291.0,351.25,412.5,2019-01-02 08:00:00
2019-01-02 09:00:00,458.0,316.0,395.0,418.5,2019-01-02 09:00:00
2019-01-02 10:00:00,324.25,302.0,445.75,385.5,2019-01-02 10:00:00
2019-01-02 11:00:00,279.5,243.0,473.25,381.0,2019-01-02 11:00:00
2019-01-02 12:00:00,195.0,224.0,485.5,259.0,2019-01-02 12:00:00
2019-01-02 13:00:00,147.75,171.0,322.75,242.0,2019-01-02 13:00:00
2019-01-02 14:00:00,181.0,171.0,230.25,193.25,2019-01-02 14:00:00
2019-01-02 15:00:00,162.5,156.0,193.0,196.25,2019-01-02 15:00:00
2019-01-02 16:00:00,161.5,130.0,200.0,200.25,2019-01-02 16:00:00
2019-01-02 17:00:00,197.75,140.0,192.0,241.25,2019-01-02 17:00:00
2019-01-02 18:00:00,248.75,144.0,243.0,227.25,2019-01-02 18:00:00
2019-01-02 19:00:00,408.75,138.0,321.75,271.0,2019-01-02 19:00:00
2019-01-02 20:00:00,665.75,160.0,289.5,419.5,2019-01-02 20:00:00
2019-01-02 21:00:00,788.75,234.0,314.5,489.25,2019-01-02 21:00:00
2019-01-02 22:00:00,813.0,241.0,410.5,504.75,2019-01-02 22:00:00
2019-01-02 23:00:00,485.5,202.0,503.25,447.5,2019-01-02 23:00:00
2019-01-03 00:00:00,436.5,189.0,498.25,425.25,2019-01-03 00:00:00
2019-01-03 01:00:00,406.75,280.0,566.25,373.25,2019-01-03 01:00:00
2019-01-03 03:00:00,411.0,304.0,420.25,354.5,2019-01-03 03:00:00
2019-01-03 04:00:00,399.75,316.0,409.5,335.5,2019-01-03 04:00:00
2019-01-03 05:00:00,375.5,354.5,385.75,325.25,2019-01-03 05:00:00
2019-01-03 06:00:00,438.25,409.25,356.25,323.5,2019-01-03 06:00:00
2019-01-03 07:00:00,449.25,422.5,337.25,335.0,2019-01-03 07:00:00
2019-01-03 08:00:00,425.0,438.5,353.0,279.5,2019-01-03 08:00:00
2019-01-03 09:00:00,438.25,427.5,375.5,214.75,2019-01-03 09:00:00
2019-01-03 10:00:00,407.0,418.25,453.25,321.0,2019-01-03 10:00:00
2019-01-03 11:00:00,381.25,364.25,542.0,387.5,2019-01-03 11:00:00
2019-01-03 12:00:00,268.75,248.75,424.75,405.75,2019-01-03 12:00:00
2019-01-03 13:00:00,184.5,166.75,283.5,316.0,2019-01-03 13:00:00
2019-01-03 14:00:00,177.25,131.5,269.75,274.75,2019-01-03 14:00:00
2019-01-03 15:00:00,193.25,140.0,188.25,183.5,2019-01-03 15:00:00
2019-01-03 16:00:00,167.25,146.5,174.5,165.0,2019-01-03 16:00:00
2019-01-03 17:00:00,197.25,145.75,225.5,233.5,2019-01-03 17:00:00
2019-01-03 18:00:00,212.5,207.0,308.5,293.0,2019-01-03 18:00:00
2019-01-03 19:00:00,256.75,263.5,354.75,376.25,2019-01-03 19:00:00
2019-01-03 20:00:00,315.5,314.0,366.5,388.25,2019-01-03 20:00:00
2019-01-03 21:00:00,323.25,333.0,358.5,342.75,2019-01-03 21:00:00
2019-01-03 22:00:00,322.0,320.5,343.75,314.75,2019-01-03 22:00:00
2019-01-03 23:00:00,315.75,296.75,319.25,291.5,2019-01-03 23:00:00
2019-01-04 00:00:00,325.0,288.0,291.5,277.0,2019-01-04 00:00:00
2019-01-04 01:00:00,339.5,297.0,282.0,262.5,2019-01-04 01:00:00
2019-01-04 03:00:00,294.25,262.0,183.0,152.75,2019-01-04 03:00:00
2019-01-04 04:00:00,280.75,269.5,164.0,144.25,2019-01-04 04:00:00
2019-01-04 05:00:00,203.75,250.25,149.75,134.75,2019-01-04 05:00:00
2019-01-04 06:00:00,175.5,194.0,140.75,123.5,2019-01-04 06:00:00
2019-01-04 07:00:00,155.75,155.75,135.0,127.0,2019-01-04 07:00:00
2019-01-04 08:00:00,171.0,154.0,140.75,122.0,2019-01-04 08:00:00
2019-01-04 09:00:00,217.0,179.25,151.75,117.5,2019-01-04 09:00:00
2019-01-04 10:00:00,219.75,210.25,177.25,132.0,2019-01-04 10:00:00
2019-01-04 11:00:00,249.5,209.5,234.0,170.25,2019-01-04 11:00:00
