station_id,column,missing_before,missing_after,method,selected_features
__all__,NO2 (µg/m³),414,0,drop_rows,
__all__,PM2.5 (µg/m³),985,0,drop_rows,
__all__,RH (%),345,30,,
__all__,WS (m/s),8964,8486,,
124,NO2 (µg/m³),130,0,drop_rows,
124,PM2.5 (µg/m³),402,0,drop_rows,
124,RH (%),53,0,,
124,WS (m/s),53,0,,
1421,NO2 (µg/m³),111,0,drop_rows,
1421,PM2.5 (µg/m³),248,0,drop_rows,
1421,RH (%),95,1,,
1421,WS (m/s),95,1,,
1426,NO2 (µg/m³),67,0,drop_rows,
1426,PM2.5 (µg/m³),74,0,drop_rows,
1426,RH (%),56,2,,
1426,WS (m/s),56,2,,
5024,NO2 (µg/m³),106,0,drop_rows,
5024,PM2.5 (µg/m³),261,0,drop_rows,
5024,RH (%),141,27,,
5024,WS (m/s),8760,8483,,
