PM2.5 (µg/m³),NO2 (µg/m³),RH (%),WS (m/s),Timestamp,station_id
349.0,42.37,89.67,0.3,2025-01-01 00:00:00,124
219.0,58.1,95.0,0.47,2025-01-01 00:00:00,1421
240.0,23.03,94.0,0.3,2025-01-01 00:00:00,1426
199.0,33.2,91.0,,2025-01-01 00:00:00,5024
185.0,55.5,95.0,0.38,2025-01-01 01:00:00,1421
207.0,20.67,94.5,0.3,2025-01-01 01:00:00,1426
190.0,31.18,91.0,,2025-01-01 01:00:00,5024
324.0,38.3,90.0,0.3,2025-01-01 01:00:00,124
276.0,35.75,90.25,0.3,2025-01-01 02:00:00,124
168.0,29.8,91.0,,2025-01-01 02:00:00,5024
233.0,18.9,95.0,0.32,2025-01-01 02:00:00,1426
179.0,53.6,95.0,0.35,2025-01-01 02:00:00,1421
141.0,30.7,91.0,,2025-01-01 03:00:00,5024
207.0,20.8,94.0,0.3,2025-01-01 03:00:00,1426
255.0,44.98,91.0,0.3,2025-01-01 03:00:00,124
188.0,59.1,95.0,0.62,2025-01-01 03:00:00,1421
110.0,29.0,91.0,,2025-01-01 04:00:00,5024
234.0,52.08,90.0,0.3,2025-01-01 04:00:00,124
185.0,21.75,92.75,0.32,2025-01-01 04:00:00,1426
190.0,61.02,92.0,0.73,2025-01-01 04:00:00,1421
151.0,62.4,91.0,0.92,2025-01-01 05:00:00,1421
166.0,23.2,92.0,0.3,2025-01-01 05:00:00,1426
111.0,31.9,91.0,,2025-01-01 05:00:00,5024
177.0,52.8,89.5,0.42,2025-01-01 05:00:00,124
195.0,55.42,89.75,0.55,2025-01-01 06:00:00,124
168.0,62.72,90.0,1.3,2025-01-01 06:00:00,1421
132.0,22.52,90.5,0.32,2025-01-01 06:00:00,1426
111.0,27.8,91.0,,2025-01-01 06:00:00,5024
158.0,63.22,89.75,1.02,2025-01-01 07:00:00,1421
117.0,23.67,89.0,0.3,2025-01-01 07:00:00,1426
99.0,26.62,91.0,,2025-01-01 07:00:00,5024
167.0,46.38,88.5,0.7,2025-01-01 07:00:00,124
185.0,36.55,86.5,1.0,2025-01-01 08:00:00,124
122.0,23.72,87.75,0.42,2025-01-01 08:00:00,1426
105.0,27.42,91.0,,2025-01-01 08:00:00,5024
169.0,58.62,86.5,1.15,2025-01-01 08:00:00,1421
107.0,19.9,85.75,0.32,2025-01-01 09:00:00,1426
138.0,39.88,84.5,1.6,2025-01-01 09:00:00,124
172.0,56.98,84.25,1.27,2025-01-01 09:00:00,1421
113.0,24.58,91.0,,2025-01-01 09:00:00,5024
161.0,41.65,82.5,1.25,2025-01-01 10:00:00,124
127.0,19.42,83.25,0.43,2025-01-01 10:00:00,1426
134.0,23.52,91.0,,2025-01-01 10:00:00,5024
157.0,59.28,80.5,1.38,2025-01-01 10:00:00,1421
141.0,22.9,88.0,,2025-01-01 11:00:00,5024
169.0,60.5,75.25,1.18,2025-01-01 11:00:00,1421
169.0,39.35,77.5,0.92,2025-01-01 11:00:00,124
132.0,18.75,79.75,0.8,2025-01-01 11:00:00,1426
132.0,19.75,75.25,0.82,2025-01-01 12:00:00,1426
186.0,38.65,74.25,1.8,2025-01-01 12:00:00,124
185.0,65.12,71.0,1.25,2025-01-01 12:00:00,1421
146.0,22.55,88.0,,2025-01-01 12:00:00,5024
147.0,23.92,87.5,,2025-01-01 13:00:00,5024
134.25,22.25,72.5,0.9,2025-01-01 13:00:00,1426
180.0,40.35,72.75,2.02,2025-01-01 13:00:00,124
180.0,64.42,70.0,1.12,2025-01-01 13:00:00,1421
189.0,38.6,72.0,1.9,2025-01-01 14:00:00,124
129.0,21.22,71.75,0.7,2025-01-01 14:00:00,1426
145.0,23.82,78.75,,2025-01-01 14:00:00,5024
166.0,64.5,69.75,1.17,2025-01-01 14:00:00,1421
121.0,23.9,73.0,0.6,2025-01-01 15:00:00,1426
162.0,66.0,71.75,1.23,2025-01-01 15:00:00,1421
140.0,24.67,73.25,,2025-01-01 15:00:00,5024
166.0,39.2,71.75,1.42,2025-01-01 15:00:00,124
141.0,24.08,75.5,,2025-01-01 16:00:00,5024
125.0,24.65,76.75,0.35,2025-01-01 16:00:00,1426
178.0,39.48,74.25,0.92,2025-01-01 16:00:00,124
171.0,67.52,74.5,1.12,2025-01-01 16:00:00,1421
