station_id,column,missing_before,missing_after,method,selected_features
__all__,NO2 (µg/m³),691,0,drop_rows,
__all__,PM2.5 (µg/m³),937,0,drop_rows,
__all__,RH (%),415,39,,
__all__,WS (m/s),9051,8474,,
124,NO2 (µg/m³),204,0,drop_rows,
124,PM2.5 (µg/m³),435,0,drop_rows,
124,RH (%),135,0,,
124,WS (m/s),135,0,,
1421,NO2 (µg/m³),167,0,drop_rows,
1421,PM2.5 (µg/m³),157,0,drop_rows,
1421,RH (%),40,11,,
1421,WS (m/s),41,12,,
1426,NO2 (µg/m³),95,0,drop_rows,
1426,PM2.5 (µg/m³),120,0,drop_rows,
1426,RH (%),100,14,,
1426,WS (m/s),91,5,,
5024,NO2 (µg/m³),225,0,drop_rows,
5024,PM2.5 (µg/m³),225,0,drop_rows,
5024,RH (%),140,14,,
5024,WS (m/s),8784,8457,,
