PM2.5 (µg/m³),NO2 (µg/m³),RH (%),WS (m/s),Timestamp,station_id
190.0,61.2,75.22,0.32,2024-01-01 00:00:00,124
192.5,23.32,86.1,0.45,2024-01-01 00:00:00,1421
150.0,14.92,79.22,0.2,2024-01-01 00:00:00,1426
140.5,19.62,76.45,,2024-01-01 00:00:00,5024
177.25,23.9,85.82,0.48,2024-01-01 01:00:00,1421
147.0,14.5,79.6,0.28,2024-01-01 01:00:00,1426
143.75,18.42,76.82,,2024-01-01 01:00:00,5024
191.0,62.95,75.68,0.38,2024-01-01 01:00:00,124
183.75,67.8,75.75,0.45,2024-01-01 02:00:00,124
141.25,19.4,76.53,,2024-01-01 02:00:00,5024
144.0,17.0,79.88,0.28,2024-01-01 02:00:00,1426
143.25,20.9,76.32,,2024-01-01 03:00:00,5024
155.0,15.2,79.75,0.25,2024-01-01 03:00:00,1426
182.5,66.45,75.43,0.4,2024-01-01 03:00:00,124
194.5,24.38,85.85,0.25,2024-01-01 03:00:00,1421
141.75,21.35,76.65,,2024-01-01 04:00:00,5024
193.75,65.68,75.62,0.3,2024-01-01 04:00:00,124
167.0,16.1,79.78,0.2,2024-01-01 04:00:00,1426
185.5,28.7,85.12,0.6,2024-01-01 04:00:00,1421
167.25,28.75,84.98,0.5,2024-01-01 05:00:00,1421
172.0,13.5,80.12,0.22,2024-01-01 05:00:00,1426
149.75,20.7,76.28,,2024-01-01 05:00:00,5024
203.75,59.62,75.47,0.35,2024-01-01 05:00:00,124
199.0,54.25,75.15,0.32,2024-01-01 06:00:00,124
180.0,27.18,84.5,0.5,2024-01-01 06:00:00,1421
149.0,12.58,79.92,0.25,2024-01-01 06:00:00,1426
138.25,19.02,75.95,,2024-01-01 06:00:00,5024
177.75,24.65,84.28,0.38,2024-01-01 07:00:00,1421
135.0,14.12,79.7,0.15,2024-01-01 07:00:00,1426
134.5,19.92,75.88,,2024-01-01 07:00:00,5024
195.5,46.58,74.78,0.42,2024-01-01 07:00:00,124
194.5,46.0,74.55,0.35,2024-01-01 08:00:00,124
149.0,16.58,78.18,0.22,2024-01-01 08:00:00,1426
133.75,18.65,75.45,,2024-01-01 08:00:00,5024
172.5,22.78,83.0,0.48,2024-01-01 08:00:00,1421
173.0,14.98,78.53,0.28,2024-01-01 09:00:00,1426
192.0,47.92,72.72,0.43,2024-01-01 09:00:00,124
179.0,22.15,80.65,0.45,2024-01-01 09:00:00,1421
117.0,16.62,73.85,,2024-01-01 09:00:00,5024
181.25,54.95,69.47,0.62,2024-01-01 10:00:00,124
136.0,14.12,76.48,0.18,2024-01-01 10:00:00,1426
113.0,16.68,71.85,,2024-01-01 10:00:00,5024
187.25,23.12,77.23,0.4,2024-01-01 10:00:00,1421
111.5,17.68,69.28,,2024-01-01 11:00:00,5024
199.5,23.6,70.72,0.4,2024-01-01 11:00:00,1421
197.25,51.32,64.35,0.82,2024-01-01 11:00:00,124
139.0,14.9,73.15,0.18,2024-01-01 11:00:00,1426
141.0,16.65,70.78,0.2,2024-01-01 12:00:00,1426
226.0,51.02,57.45,0.8,2024-01-01 12:00:00,124
216.75,25.2,64.68,0.68,2024-01-01 12:00:00,1421
116.0,17.1,68.0,,2024-01-01 12:00:00,5024
130.0,21.3,61.4,,2024-01-01 13:00:00,5024
160.0,17.03,67.37,0.2,2024-01-01 13:00:00,1426
208.25,60.22,53.28,0.68,2024-01-01 13:00:00,124
221.25,24.12,63.4,0.75,2024-01-01 13:00:00,1421
232.75,57.05,54.88,0.82,2024-01-01 14:00:00,124
166.0,13.32,65.9,0.22,2024-01-01 14:00:00,1426
139.25,20.55,61.42,,2024-01-01 14:00:00,5024
227.5,26.45,61.85,0.8,2024-01-01 14:00:00,1421
139.0,12.8,66.62,0.32,2024-01-01 15:00:00,1426
228.0,33.3,66.5,0.95,2024-01-01 15:00:00,1421
135.25,18.8,62.48,,2024-01-01 15:00:00,5024
244.25,51.32,58.48,0.8,2024-01-01 15:00:00,124
123.75,19.8,66.47,,2024-01-01 16:00:00,5024
124.0,16.0,69.92,0.32,2024-01-01 16:00:00,1426
