Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,349.00,459.00,82.43,42.37,89.60,23.40,31.73,3.14,11.67,0.23,1.37,NA,NA,NA,NA,10.70,89.67,0.30,191.67,NA,0.00,6.00,NA,-0.02
2025-01-01 01:00:00,324.00,NA,92.28,38.30,95.38,22.55,32.75,2.70,13.75,0.25,1.02,NA,NA,NA,NA,10.30,90.00,0.30,180.25,NA,0.00,6.00,NA,-0.02
2025-01-01 02:00:00,276.00,400.00,95.45,35.75,96.00,19.95,34.55,2.49,12.50,0.23,1.42,NA,NA,NA,NA,10.00,90.25,0.30,180.75,NA,0.00,6.00,NA,-0.02
2025-01-01 03:00:00,255.00,368.00,73.40,44.98,83.40,22.78,32.65,1.96,11.45,0.30,1.30,NA,NA,NA,NA,11.15,91.00,0.30,192.75,NA,0.00,6.00,NA,-0.02
2025-01-01 04:00:00,234.00,382.00,15.30,52.08,40.08,21.18,28.20,1.06,11.00,0.15,1.15,NA,NA,NA,NA,11.52,90.00,0.30,193.25,NA,0.00,6.00,NA,-0.02
2025-01-01 05:00:00,177.00,263.00,23.95,52.80,47.65,25.30,26.68,1.32,11.25,0.25,0.80,NA,NA,NA,NA,11.30,89.50,0.42,192.00,NA,0.00,6.00,NA,-0.02
2025-01-01 06:00:00,195.00,267.00,21.28,55.42,46.80,29.55,28.90,1.11,10.88,0.20,1.00,NA,NA,NA,NA,11.00,89.75,0.55,193.00,NA,0.00,6.00,NA,-0.02
2025-01-01 07:00:00,167.00,233.00,6.57,46.38,29.88,29.80,26.78,0.82,11.30,0.05,0.68,NA,NA,NA,NA,10.82,88.50,0.70,193.75,NA,0.00,7.50,NA,-0.02
2025-01-01 08:00:00,185.00,257.00,4.00,36.55,20.23,22.42,24.88,0.79,12.38,0.00,0.55,NA,NA,NA,NA,10.92,86.50,1.00,192.50,NA,0.00,28.75,NA,-0.02
2025-01-01 09:00:00,138.00,201.00,7.20,39.88,27.02,20.23,20.55,0.87,12.02,0.00,0.45,NA,NA,NA,NA,11.25,84.50,1.60,193.50,NA,0.00,54.25,NA,-0.06
2025-01-01 10:00:00,161.00,212.00,6.08,41.65,27.02,20.23,21.90,1.03,11.82,0.02,0.55,NA,NA,NA,NA,12.20,82.50,1.25,195.00,NA,0.00,85.50,NA,-0.14
2025-01-01 11:00:00,169.00,238.00,6.15,39.35,26.00,20.23,20.85,1.02,13.08,0.00,0.38,NA,NA,NA,NA,14.08,77.50,0.92,218.50,NA,0.00,153.00,NA,-0.07
2025-01-01 12:00:00,186.00,256.00,4.92,38.65,24.62,21.12,20.15,0.94,14.58,0.00,0.25,NA,NA,NA,NA,14.70,74.25,1.80,203.75,NA,0.00,159.75,NA,-0.22
2025-01-01 13:00:00,180.00,250.00,7.68,40.35,27.70,27.08,19.05,0.94,14.80,0.00,0.08,NA,NA,NA,NA,15.22,72.75,2.02,202.75,NA,0.00,182.25,NA,-0.30
