Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,219.00,305.00,34.27,58.10,56.77,28.40,23.00,1.98,8.00,0.27,1.83,NA,NA,NA,NA,9.63,95.00,0.47,240.00,0.00,0.00,5.00,992.00,NA
2025-01-01 01:00:00,185.00,263.00,27.58,55.50,49.92,25.88,22.20,1.76,7.00,0.20,1.20,NA,NA,NA,NA,9.40,95.00,0.38,254.00,0.00,0.00,5.00,991.00,NA
2025-01-01 02:00:00,179.00,250.00,26.20,53.60,47.80,26.40,21.80,1.75,8.28,0.20,1.00,NA,NA,NA,NA,9.40,95.00,0.35,196.00,0.00,0.00,5.00,991.00,NA
2025-01-01 03:00:00,188.00,273.00,66.00,59.10,83.07,27.87,24.70,2.18,8.07,0.23,1.40,NA,NA,NA,NA,10.15,95.00,0.62,101.25,0.00,0.00,5.00,991.00,NA
2025-01-01 04:00:00,190.00,315.00,23.92,61.02,49.88,28.75,13.55,1.13,14.02,0.20,1.40,NA,NA,NA,NA,10.50,92.00,0.73,159.25,0.00,0.00,5.00,990.50,NA
2025-01-01 05:00:00,151.00,271.00,15.18,62.40,43.55,29.57,11.98,1.16,12.32,0.12,0.85,NA,NA,NA,NA,10.70,91.00,0.92,245.25,0.00,0.00,5.00,990.75,NA
2025-01-01 06:00:00,168.00,267.00,13.50,62.72,42.32,30.00,11.68,1.12,13.68,0.18,1.30,NA,NA,NA,NA,10.70,90.00,1.30,212.25,0.00,0.00,5.00,991.00,NA
2025-01-01 07:00:00,158.00,233.00,15.00,63.22,43.80,29.88,11.45,1.08,11.92,0.10,0.98,NA,NA,NA,NA,10.60,89.75,1.02,237.25,0.00,0.00,7.75,991.00,NA
2025-01-01 08:00:00,169.00,228.00,18.28,58.62,44.00,28.62,12.80,1.12,14.92,0.15,0.95,NA,NA,NA,NA,10.62,86.50,1.15,278.00,0.00,0.00,35.50,992.00,NA
2025-01-01 09:00:00,172.00,232.00,18.02,56.98,42.95,25.08,14.55,1.07,21.80,0.10,0.75,NA,NA,NA,NA,10.77,84.25,1.27,301.75,0.00,0.00,86.00,992.00,NA
2025-01-01 10:00:00,157.00,196.00,20.85,59.28,46.45,24.52,14.40,1.11,25.35,0.10,0.60,NA,NA,NA,NA,11.48,80.50,1.38,245.75,0.00,0.00,151.25,993.00,NA
2025-01-01 11:00:00,169.00,213.00,18.55,60.50,45.28,25.45,15.52,1.18,34.35,0.10,0.70,NA,NA,NA,NA,12.50,75.25,1.18,255.25,0.00,0.00,211.00,993.00,NA
2025-01-01 12:00:00,185.00,228.00,15.23,65.12,45.02,29.98,13.65,1.20,48.90,0.10,0.57,NA,NA,NA,NA,13.25,71.00,1.25,296.75,0.00,0.00,187.75,992.00,NA
2025-01-01 13:00:00,180.00,221.00,13.88,64.42,43.55,33.28,12.75,1.13,50.58,0.15,0.52,NA,NA,NA,NA,13.42,70.00,1.12,286.50,0.00,0.00,207.50,991.00,NA
