Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,240.00,405.00,105.40,23.03,98.00,55.30,6.23,1.67,4.53,NA,462.97,NA,NA,NA,NA,12.10,94.00,0.30,19.00,0.00,0.00,49.33,983.00,NA
2025-01-01 01:00:00,207.00,387.00,93.02,20.67,86.58,34.65,3.68,1.65,5.00,14.33,373.88,NA,NA,NA,NA,11.75,94.50,0.30,10.75,0.00,0.00,49.50,984.00,NA
2025-01-01 02:00:00,233.00,370.00,85.30,18.90,79.50,33.10,3.30,1.72,3.75,13.35,305.50,NA,NA,NA,NA,12.20,95.00,0.32,7.50,0.00,0.00,49.00,984.25,NA
2025-01-01 03:00:00,207.00,356.00,34.75,20.80,39.22,25.28,1.78,0.94,1.80,10.82,378.00,NA,NA,NA,NA,12.60,94.00,0.30,8.00,0.00,0.00,47.50,983.25,NA
2025-01-01 04:00:00,185.00,332.00,32.33,21.75,37.83,28.52,2.12,0.81,1.75,8.78,344.85,NA,NA,NA,NA,12.70,92.75,0.32,9.00,0.00,0.00,47.00,982.75,NA
2025-01-01 05:00:00,166.00,283.00,21.05,23.20,29.45,34.90,2.28,0.61,2.25,8.88,264.55,NA,NA,NA,NA,12.73,92.00,0.30,14.25,0.00,0.00,47.00,981.50,NA
2025-01-01 06:00:00,132.00,210.00,15.98,22.52,24.95,40.38,1.62,0.38,3.58,7.45,175.45,NA,NA,NA,NA,12.70,90.50,0.32,17.25,0.00,0.00,46.00,981.00,NA
2025-01-01 07:00:00,117.00,180.00,12.52,23.67,22.72,43.05,1.15,0.28,3.45,5.92,122.48,NA,NA,NA,NA,12.65,89.00,0.30,18.25,0.00,0.00,48.25,981.00,NA
2025-01-01 08:00:00,122.00,185.00,12.10,23.72,22.42,45.30,1.02,0.88,4.03,5.45,100.10,NA,NA,NA,NA,12.72,87.75,0.42,19.00,0.00,0.00,67.50,981.00,NA
2025-01-01 09:00:00,107.00,182.00,18.50,19.90,25.62,33.10,0.40,0.99,3.70,4.45,69.78,NA,NA,NA,NA,13.00,85.75,0.32,11.25,0.00,0.00,84.25,982.00,NA
2025-01-01 10:00:00,127.00,195.00,17.50,19.42,24.55,27.75,NA,1.03,2.07,3.97,87.90,NA,NA,NA,NA,13.27,83.25,0.43,9.00,0.00,0.00,103.50,982.00,NA
2025-01-01 11:00:00,132.00,196.00,18.55,18.75,25.02,28.10,4.23,1.02,2.20,4.00,204.32,NA,NA,NA,NA,13.82,79.75,0.80,9.00,0.00,0.00,143.75,982.00,NA
2025-01-01 12:00:00,132.00,206.50,17.48,19.75,24.62,29.52,5.65,1.01,1.95,4.15,489.70,NA,NA,NA,NA,14.58,75.25,0.82,9.00,0.00,0.00,192.50,982.00,NA
2025-01-01 13:00:00,134.25,199.50,13.30,22.25,22.65,37.97,5.45,0.98,2.58,4.45,383.32,NA,NA,NA,NA,15.22,72.50,0.90,14.75,0.00,0.00,201.75,981.25,NA
2025-01-01 14:00:00,129.00,187.00,12.22,21.22,21.25,43.25,6.15,0.99,4.05,5.28,398.80,NA,NA,NA,NA,15.58,71.75,0.70,17.75,0.00,0.00,190.50,980.75,NA
2025-01-01 15:00:00,121.00,187.00,11.10,23.90,21.72,46.78,6.55,0.97,4.48,5.28,493.00,NA,NA,NA,NA,15.45,73.00,0.60,19.00,0.00,0.00,123.00,980.00,NA
2025-01-01 16:00:00,125.00,202.25,10.65,24.65,21.75,49.48,6.85,0.97,4.92,5.42,NA,NA,NA,NA,NA,14.85,76.75,0.35,20.00,0.00,0.00,81.00,980.00,NA
2025-01-01 17:00:00,107.50,186.75,18.15,21.00,25.85,35.52,6.05,1.07,4.32,4.90,NA,NA,NA,NA,NA,13.75,81.25,0.30,11.75,0.00,0.00,52.50,980.75,NA
2025-01-01 18:00:00,121.25,221.25,18.23,18.73,24.78,27.55,5.10,1.18,2.18,5.78,363.77,NA,NA,NA,NA,12.82,86.75,0.30,9.00,0.00,0.00,44.50,981.00,NA
2025-01-01 19:00:00,176.75,282.25,22.20,21.00,29.15,28.55,5.30,1.38,1.80,7.28,289.23,NA,NA,NA,NA,12.50,89.75,0.30,9.00,0.00,0.00,44.50,981.00,NA
2025-01-01 20:00:00,190.00,310.75,21.78,21.68,29.12,29.85,5.75,1.40,1.60,7.20,348.98,NA,NA,NA,NA,12.50,90.25,0.30,9.00,0.00,0.00,44.00,981.00,NA
2025-01-01 21:00:00,184.50,302.25,16.52,23.10,25.78,38.03,6.25,1.19,2.38,8.70,300.80,NA,NA,NA,NA,12.60,91.00,0.32,14.00,0.00,0.00,43.75,979.75,NA
2025-01-01 22:00:00,174.00,288.25,17.08,26.15,27.78,44.00,6.32,1.18,3.65,11.12,316.45,NA,NA,NA,NA,12.30,91.75,0.30,17.00,0.00,0.00,43.50,979.25,NA
2025-01-01 23:00:00,165.00,268.50,13.52,25.62,24.65,45.98,6.62,0.96,3.85,9.95,212.28,NA,NA,NA,NA,13.00,91.25,0.32,18.25,0.00,0.00,44.00,979.25,NA
2025-01-02 00:00:00,141.25,239.00,12.08,24.22,22.68,47.30,7.80,0.86,4.30,8.15,172.27,NA,NA,NA,NA,13.08,90.00,0.35,19.00,0.00,0.00,44.00,979.00,NA
2025-01-02 01:00:00,125.00,224.75,17.30,20.25,24.82,35.12,7.62,0.76,5.00,6.22,201.98,NA,NA,NA,NA,12.82,89.00,0.38,11.00,0.00,0.00,44.00,980.75,NA
2025-01-02 02:00:00,144.50,228.50,15.40,19.20,22.70,31.40,7.10,0.74,4.03,4.90,159.57,NA,NA,NA,NA,12.70,89.50,0.30,7.75,0.00,0.00,44.00,981.00,NA
2025-01-02 03:00:00,164.00,242.00,14.00,19.62,21.75,27.25,6.48,1.00,1.55,4.58,94.95,NA,NA,NA,NA,12.58,90.00,0.30,8.25,0.00,0.00,43.50,980.50,NA
2025-01-02 04:00:00,164.25,249.00,15.92,18.40,22.75,28.00,7.00,0.97,1.62,4.32,63.40,NA,NA,NA,NA,12.50,90.00,0.32,9.00,0.00,0.00,43.00,980.00,NA
2025-01-02 05:00:00,167.50,253.75,11.90,20.92,20.78,32.83,6.98,0.95,2.30,5.35,52.40,NA,NA,NA,NA,12.50,91.00,0.32,13.75,0.00,0.00,43.00,979.50,NA
2025-01-02 06:00:00,163.75,263.25,10.98,20.82,20.00,39.15,6.95,0.92,3.47,6.00,51.58,NA,NA,NA,NA,12.40,91.25,0.40,16.75,0.00,0.00,43.50,979.00,NA
2025-01-02 07:00:00,157.50,268.25,10.38,23.35,20.88,42.88,7.18,0.94,3.95,6.18,46.55,NA,NA,NA,NA,12.50,92.00,0.43,18.00,0.00,0.00,44.25,979.00,NA
2025-01-02 08:00:00,155.25,271.25,10.62,23.60,21.18,45.28,7.40,1.04,4.47,7.02,46.20,NA,NA,NA,NA,12.45,92.25,0.32,19.00,0.00,0.00,53.75,979.00,NA
2025-01-02 09:00:00,155.75,251.00,16.25,20.92,24.35,35.88,6.90,1.12,3.60,6.22,49.50,NA,NA,NA,NA,12.55,91.25,0.38,12.00,0.00,0.00,75.25,980.00,NA
2025-01-02 10:00:00,163.50,256.00,16.10,20.80,24.12,29.02,7.02,1.16,2.38,5.57,86.78,NA,NA,NA,NA,12.95,87.75,0.62,9.00,0.00,0.00,101.75,980.25,NA
2025-01-02 11:00:00,172.75,255.50,17.27,20.62,25.00,29.12,7.55,1.19,2.28,6.68,402.33,NA,NA,NA,NA,13.68,82.75,0.68,9.00,0.00,0.00,174.75,980.25,NA
2025-01-02 12:00:00,160.75,227.75,16.48,19.95,24.00,30.75,7.60,1.20,1.85,6.00,379.37,NA,NA,NA,NA,14.32,78.00,0.52,9.00,0.00,0.00,167.00,980.00,NA
