Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,199.00,339.00,20.33,33.20,34.23,22.50,6.20,1.58,8.77,3.23,14.50,NA,NA,4.27,2.33,9.10,91.00,NA,33.00,0.00,0.00,4.33,996.00,NA
2025-01-01 01:00:00,190.00,303.00,15.38,31.18,29.10,23.58,6.05,1.43,9.10,2.70,12.42,NA,NA,3.68,2.05,8.98,91.00,NA,33.00,0.00,0.00,4.75,996.00,NA
2025-01-01 02:00:00,168.00,267.00,11.50,29.80,25.20,24.10,8.40,NA,9.00,2.15,9.55,NA,NA,2.58,1.35,9.48,91.00,NA,56.50,0.00,0.00,4.25,996.00,NA
2025-01-01 03:00:00,141.00,230.50,6.62,30.70,21.72,24.90,4.30,1.00,11.92,2.10,9.95,NA,NA,2.25,1.10,10.42,91.00,NA,14.75,0.00,0.00,4.50,995.25,NA
2025-01-01 04:00:00,110.00,210.50,3.25,29.00,18.08,25.42,8.50,0.93,14.28,1.92,8.62,NA,NA,1.37,0.75,10.52,91.00,NA,240.25,0.00,0.00,4.75,995.00,NA
2025-01-01 05:00:00,111.00,207.00,2.92,31.90,19.32,23.90,5.32,0.82,21.48,1.70,8.70,NA,NA,1.37,0.82,10.60,91.00,NA,265.25,0.00,0.00,4.75,995.00,NA
2025-01-01 06:00:00,111.00,205.50,2.45,27.80,16.77,25.55,4.12,0.71,37.02,1.02,5.28,NA,NA,0.88,0.35,10.50,91.00,NA,259.25,0.00,0.00,4.50,995.00,NA
2025-01-01 07:00:00,99.00,179.50,2.30,26.62,16.02,25.90,4.32,0.68,39.80,0.90,3.40,NA,NA,0.70,0.20,10.38,91.00,NA,263.75,0.00,0.00,8.25,995.50,NA
2025-01-01 08:00:00,105.00,171.75,2.02,27.42,16.23,25.48,4.65,0.79,39.35,0.90,2.80,NA,NA,0.43,0.18,10.52,91.00,NA,257.00,0.00,0.00,43.25,996.00,NA
2025-01-01 09:00:00,113.00,184.00,2.75,24.58,15.28,26.70,4.53,0.78,42.60,0.92,3.92,NA,NA,0.40,0.15,11.08,91.00,NA,264.75,0.00,0.00,84.00,996.75,NA
2025-01-01 10:00:00,134.00,182.00,2.62,23.52,14.68,27.52,4.83,0.79,45.18,1.02,3.45,NA,NA,0.50,0.20,11.48,91.00,NA,275.25,0.00,0.00,116.50,997.00,NA
2025-01-01 11:00:00,141.00,188.25,3.05,22.90,14.70,28.02,6.68,0.80,46.82,1.12,5.15,NA,NA,0.40,0.20,12.00,88.00,NA,255.75,0.00,0.00,204.25,997.00,NA
2025-01-01 12:00:00,146.00,192.50,3.22,22.55,14.62,28.18,7.32,0.81,49.62,1.05,3.30,NA,NA,0.35,0.20,12.75,88.00,NA,257.75,0.00,0.00,224.25,996.75,NA
2025-01-01 13:00:00,147.00,193.00,3.05,23.92,15.20,28.12,8.05,0.84,53.85,2.17,17.60,NA,NA,0.58,0.28,13.15,87.50,NA,259.50,0.00,0.00,273.50,995.50,NA
2025-01-01 14:00:00,145.00,196.00,2.90,23.82,15.00,28.58,7.78,0.93,59.25,1.95,15.90,NA,NA,0.60,0.28,14.20,78.75,NA,256.50,0.00,0.00,337.00,995.00,NA
2025-01-01 15:00:00,140.00,195.50,3.08,24.67,15.62,28.68,7.62,0.95,59.30,2.07,16.12,NA,NA,0.60,0.25,14.18,73.25,NA,257.75,0.00,0.00,213.50,994.00,NA
2025-01-01 16:00:00,141.00,182.25,2.75,24.08,15.05,28.65,7.30,0.93,55.88,1.10,5.38,NA,NA,0.48,0.18,13.20,75.50,NA,279.75,0.00,0.00,103.75,994.00,NA
2025-01-01 17:00:00,132.00,178.00,2.78,25.98,16.08,27.42,6.02,0.97,45.78,1.10,4.10,NA,NA,0.65,0.25,11.85,84.75,NA,284.00,0.00,0.00,22.75,994.00,NA
2025-01-01 18:00:00,139.00,190.75,2.65,30.05,18.10,25.35,5.75,1.09,23.05,1.12,4.42,NA,NA,0.95,0.52,10.42,91.00,NA,118.50,0.00,0.00,5.00,994.50,NA
2025-01-01 19:00:00,155.00,231.75,3.08,37.40,22.40,21.92,5.68,1.25,12.72,1.30,4.85,NA,NA,0.88,0.73,9.98,91.00,NA,118.00,0.00,0.00,5.00,995.00,NA
2025-01-01 20:00:00,162.00,265.75,4.05,38.35,23.65,21.80,4.27,1.23,10.55,1.35,7.70,NA,NA,1.32,0.80,9.72,91.00,NA,118.00,0.00,0.00,5.00,995.25,NA
