config,run_dir,target_station_id,algorithm,best_params,validation_period_name,validation_period_start,validation_period_end,validation_period,MSE,RMSE,MAE,R2,IA,row_count,rank_by_rmse
delhi_bilstm_no2_124.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_bilstm_no2_124_20260508_112044_0,124,BiLSTM (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,364.93329593171853,19.103227369523676,14.585871048635,0.49850233269231914,0.7878369261492248,7729,7
delhi_bilstm_pm25_124.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_bilstm_pm25_124_20260508_113847_0,124,BiLSTM (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,1670.0398707300228,40.866121307631126,21.79556418227014,0.8396573541043032,0.9541386844991522,7729,105
delhi_extra_trees_no2_124.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_extra_trees_no2_124_20260508_120419_0,124,Extra Trees (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,420.8701259298884,20.515119447127,16.03546390752419,0.4216329703365279,0.7056498782940004,7729,21
delhi_extra_trees_pm25_124.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_extra_trees_pm25_124_20260508_120447_0,124,Extra Trees (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,1713.133298909207,41.39001448307559,21.948298665476152,0.8355198994147058,0.9519123802896396,7729,111
delhi_bilstm_no2_1421.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_bilstm_no2_1421_20260508_112642_0,1421,BiLSTM (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,428.8822404838804,20.70947224059272,15.711717050172085,0.2916942651490132,0.7695341492170799,7729,23
delhi_bilstm_pm25_1421.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_bilstm_pm25_1421_20260508_114437_0,1421,BiLSTM (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,962.4401879625865,31.023220141735553,18.57518545520184,0.8777626086512839,0.9671805043767067,7729,73
delhi_extra_trees_no2_1421.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_extra_trees_no2_1421_20260508_120427_0,1421,Extra Trees (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,374.51165609532814,19.352303637947813,14.974882148571435,0.3814881365067119,0.7116560502735039,7729,13
delhi_extra_trees_pm25_1421.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_extra_trees_pm25_1421_20260508_120454_0,1421,Extra Trees (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,966.7805365121064,31.09309467570101,18.50885737646936,0.8772113506189685,0.9664562290425173,7729,75
delhi_bilstm_no2_1426.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_bilstm_no2_1426_20260508_113117_0,1426,BiLSTM (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,396.61266446057397,19.915136566455526,15.733740991066027,-0.5638643186662469,0.6595188134607112,7729,19
delhi_bilstm_pm25_1426.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_bilstm_pm25_1426_20260508_115117_0,1426,BiLSTM (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,1257.5990352825936,35.46264281300244,19.384939341600013,0.881180290306851,0.9669273455275628,7729,89
delhi_extra_trees_no2_1426.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_extra_trees_no2_1426_20260508_120433_0,1426,Extra Trees (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,328.0709700619673,18.112729503362193,14.513166706660936,-0.2936008605976692,0.6672589765387998,7729,5
delhi_extra_trees_pm25_1426.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_extra_trees_pm25_1426_20260508_120501_0,1426,Extra Trees (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,1302.4013154406905,36.08879764470812,19.910492228113053,0.8769473084321631,0.9642475786408417,7729,91
delhi_bilstm_no2_5024.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_bilstm_no2_5024_20260508_113515_0,5024,BiLSTM (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,393.0936763798588,19.826590134964174,13.996072015415606,0.2084510042749681,0.6737589547154541,7729,17
delhi_bilstm_pm25_5024.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_bilstm_pm25_5024_20260508_120001_0,5024,BiLSTM (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,1056.489815792597,32.50368926433732,18.018351642908726,0.8735805065871435,0.9662294841437667,7729,77
delhi_extra_trees_no2_5024.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_extra_trees_no2_5024_20260508_120440_0,5024,Extra Trees (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,380.06540729091,19.49526627904605,13.875295788916452,0.23468524291336224,0.6655707409488383,7729,15
delhi_extra_trees_pm25_5024.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\train_validate_evaluate_avg_rep_final_norm\delhi_extra_trees_pm25_5024_20260508_120507_0,5024,Extra Trees (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,1061.8358586776333,32.58582297069744,18.07815361761535,0.8729407994899363,0.966222543050526,7729,79
