config,run_dir,target_station_id,algorithm,best_params,validation_period_name,validation_period_start,validation_period_end,validation_period,RMSE,R2,row_count,rank_by_rmse
delhi_bilstm_no2_124.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_bilstm_no2_124_20260513_121411_0,124,BiLSTM (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,19.103227369523676,0.49850233269231914,7729,7
delhi_bilstm_pm25_124.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_bilstm_pm25_124_20260513_122324_0,124,BiLSTM (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,40.866121307631126,0.8396573541043032,7729,105
delhi_extra_trees_no2_124.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_extra_trees_no2_124_20260513_124229_0,124,Extra Trees (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,20.515119447127,0.4216329703365279,7729,21
delhi_extra_trees_pm25_124.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_extra_trees_pm25_124_20260513_124257_0,124,Extra Trees (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,41.39001448307559,0.8355198994147058,7729,111
delhi_bilstm_no2_1421.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_bilstm_no2_1421_20260513_121701_0,1421,BiLSTM (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,20.70947224059272,0.2916942651490132,7729,23
delhi_bilstm_pm25_1421.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_bilstm_pm25_1421_20260513_122834_0,1421,BiLSTM (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,31.023220141735553,0.8777626086512839,7729,73
delhi_extra_trees_no2_1421.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_extra_trees_no2_1421_20260513_124236_0,1421,Extra Trees (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,19.352303637947813,0.3814881365067119,7729,13
delhi_extra_trees_pm25_1421.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_extra_trees_pm25_1421_20260513_124305_0,1421,Extra Trees (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,31.09309467570101,0.8772113506189685,7729,75
delhi_bilstm_no2_1426.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_bilstm_no2_1426_20260513_121857_0,1426,BiLSTM (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,19.915136566455526,-0.5638643186662469,7729,19
delhi_bilstm_pm25_1426.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_bilstm_pm25_1426_20260513_123351_0,1426,BiLSTM (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,35.46264281300244,0.881180290306851,7729,89
delhi_extra_trees_no2_1426.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_extra_trees_no2_1426_20260513_124243_0,1426,Extra Trees (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,18.112729503362193,-0.2936008605976692,7729,5
delhi_extra_trees_pm25_1426.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_extra_trees_pm25_1426_20260513_124313_0,1426,Extra Trees (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,36.08879764470812,0.8769473084321631,7729,91
delhi_bilstm_no2_5024.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_bilstm_no2_5024_20260513_122100_0,5024,BiLSTM (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,19.826590134964174,0.2084510042749681,7729,17
delhi_bilstm_pm25_5024.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_bilstm_pm25_5024_20260513_123934_0,5024,BiLSTM (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,32.50368926433732,0.8735805065871435,7729,77
delhi_extra_trees_no2_5024.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_extra_trees_no2_5024_20260513_124250_0,5024,Extra Trees (NO2),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,19.49526627904605,0.23468524291336224,7729,15
delhi_extra_trees_pm25_5024.yaml,D:\source\research\aq-spatial-reconstruction\configs\delhi\artifacts\test_trimmed_code_again\delhi_extra_trees_pm25_5024_20260513_124323_0,5024,Extra Trees (PM2.5),,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,2025-01-01T00:00:00 -> 2025-12-31T23:59:59,32.58582297069744,0.8729407994899363,7729,79
