algorithm,station,period,period_start,period_end,RMSE,R2
Baseline: Average of Other Stations,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,19.266396140872857,0.48989873669324946
Baseline: Average of Other Stations,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,24.062476326249318,0.04376786536206423
Baseline: Average of Other Stations,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,26.338815487430146,-1.7354260147815843
Baseline: Average of Other Stations,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,15.455170212300118,0.519017439884598
Baseline: Replace with Station 124,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,,
Baseline: Replace with Station 124,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,23.04901474261995,0.12262061388102652
Baseline: Replace with Station 124,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,29.427454518545535,-2.4145846790696095
Baseline: Replace with Station 124,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,22.294058403434384,-0.000829306034945132
Baseline: Replace with Station 1421,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,23.04901474261995,0.2699373018728264
Baseline: Replace with Station 1421,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,,
Baseline: Replace with Station 1421,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,35.2496760196492,-3.899398360481868
Baseline: Replace with Station 1421,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,24.2493327765669,-0.1840807797917694
Baseline: Replace with Station 1426,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,29.427454518545535,-0.1900379798930043
Baseline: Replace with Station 1426,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,35.2496760196492,-1.0520737011720631
Baseline: Replace with Station 1426,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,,
Baseline: Replace with Station 1426,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,22.615384553765278,-0.029887290280427248
Baseline: Replace with Station 5024,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,22.294058403434384,0.31697956590905463
Baseline: Replace with Station 5024,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,24.2493327765669,0.028859017257762187
Baseline: Replace with Station 5024,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,22.615384553765278,-1.0166960464168486
Baseline: Replace with Station 5024,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,,
BiLSTM (NO2),124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,19.10322736952368,0.4985023326923191
BiLSTM (NO2),1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,20.70947224059272,0.2916942651490132
BiLSTM (NO2),1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,19.915136566455526,-0.5638643186662469
BiLSTM (NO2),5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,19.82659013496417,0.2084510042749681
Extra Trees (NO2),124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,20.515119447127,0.4216329703365279
Extra Trees (NO2),1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,19.352303637947813,0.3814881365067119
Extra Trees (NO2),1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,18.112729503362196,-0.2936008605976692
Extra Trees (NO2),5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,19.49526627904605,0.2346852429133622
