actual,prediction,split
42.37,49.498856,evaluation
38.3,46.8563,evaluation
35.75,44.8851,evaluation
44.98,48.03042,evaluation
52.08,47.942173,evaluation
52.8,50.5108,evaluation
55.42,48.006226,evaluation
46.38,47.683,evaluation
36.55,46.41581,evaluation
39.88,42.97032,evaluation
41.65,42.98377,evaluation
39.35,42.826897,evaluation
38.65,44.56545,evaluation
40.35,45.938286,evaluation
38.6,45.64364,evaluation
39.2,47.469696,evaluation
39.48,47.80851,evaluation
52.42,49.490944,evaluation
56.22,51.676453,evaluation
54.18,54.594604,evaluation
49.9,57.119915,evaluation
48.62,57.8956,evaluation
47.92,56.584785,evaluation
43.38,55.763035,evaluation
39.85,49.098244,evaluation
46.12,45.99157,evaluation
33.15,43.91694,evaluation
25.2,41.596252,evaluation
26.45,43.56221,evaluation
30.95,43.34854,evaluation
39.88,41.986336,evaluation
38.42,42.6335,evaluation
31.35,43.18297,evaluation
36.05,44.693092,evaluation
36.25,45.902924,evaluation
35.15,48.031425,evaluation
39.45,52.451603,evaluation
46.88,55.919662,evaluation
46.8,56.71575,evaluation
53.62,58.150597,evaluation
54.25,59.58174,evaluation
62.75,63.330982,evaluation
57.55,63.83359,evaluation
47.68,62.431606,evaluation
46.18,61.1587,evaluation
45.08,60.583763,evaluation
42.28,57.897083,evaluation
42.25,56.00209,evaluation
36.98,53.080845,evaluation
31.3,49.160553,evaluation
26.75,48.78688,evaluation
23.0,48.48768,evaluation
19.5,47.741386,evaluation
20.27,50.14006,evaluation
23.38,50.100273,evaluation
32.2,47.78891,evaluation
39.9,47.409725,evaluation
46.22,52.90455,evaluation
59.98,59.52856,evaluation
77.7,70.46971,evaluation
95.65,75.27277,evaluation
105.1,76.21825,evaluation
96.5,76.26559,evaluation
72.3,75.48949,evaluation
61.3,71.11543,evaluation
73.1,74.873215,evaluation
84.82,73.626755,evaluation
68.8,72.95534,evaluation
48.3,70.49386,evaluation
43.3,69.35624,evaluation
42.12,66.57977,evaluation
39.88,65.29689,evaluation
31.07,60.13674,evaluation
34.05,55.91513,evaluation
40.3,53.147854,evaluation
36.85,53.098137,evaluation
35.72,55.65018,evaluation
37.9,56.23254,evaluation
37.75,58.03151,evaluation
36.7,57.811356,evaluation
36.0,56.824333,evaluation
43.5,56.343285,evaluation
65.7,59.64888,evaluation
103.52,65.22894,evaluation
98.98,64.87213,evaluation
84.68,64.41343,evaluation
79.18,65.89119,evaluation
77.6,66.21758,evaluation
70.78,63.326916,evaluation
69.48,61.680305,evaluation
69.3,60.880116,evaluation
59.55,59.0888,evaluation
54.82,59.62054,evaluation
56.42,61.65448,evaluation
54.7,60.787422,evaluation
48.38,59.33917,evaluation
40.53,55.748566,evaluation
37.2,52.600487,evaluation
33.3,53.06046,evaluation
33.4,51.612675,evaluation
29.8,51.439465,evaluation
33.62,53.228188,evaluation
35.4,52.79721,evaluation
33.15,52.736607,evaluation
30.5,52.446777,evaluation
30.08,49.901043,evaluation
29.4,50.81238,evaluation
30.45,52.21163,evaluation
32.55,54.79137,evaluation
41.75,58.495087,evaluation
43.25,58.574554,evaluation
45.75,59.159214,evaluation
46.25,60.814743,evaluation
57.65,58.62526,evaluation
59.62,59.748585,evaluation
53.62,57.87377,evaluation
44.72,57.5091,evaluation
46.08,55.544968,evaluation
41.88,57.174126,evaluation
36.17,54.207756,evaluation
28.78,52.6545,evaluation
33.22,51.613586,evaluation
32.85,51.839287,evaluation
37.12,52.91613,evaluation
38.98,51.150017,evaluation
32.33,51.675346,evaluation
32.05,52.73334,evaluation
41.42,55.116264,evaluation
41.82,56.735252,evaluation
44.62,55.220673,evaluation
40.33,56.464893,evaluation
40.92,60.68046,evaluation
48.03,65.42746,evaluation
53.25,65.75191,evaluation
49.2,64.833954,evaluation
43.28,61.53344,evaluation
41.02,60.155132,evaluation
39.9,57.988735,evaluation
43.68,59.993248,evaluation
42.18,58.869453,evaluation
42.1,57.376026,evaluation
44.92,55.503517,evaluation
37.9,54.629524,evaluation
29.1,51.770752,evaluation
25.17,50.85089,evaluation
25.52,47.22193,evaluation
24.1,45.801613,evaluation
25.3,46.229477,evaluation
24.38,45.642147,evaluation
23.5,46.50231,evaluation
26.35,46.547516,evaluation
27.8,49.437916,evaluation
27.85,51.36312,evaluation
29.7,51.282066,evaluation
32.12,51.88579,evaluation
34.85,53.071068,evaluation
31.75,54.491535,evaluation
34.45,53.752453,evaluation
36.05,53.85195,evaluation
35.28,54.706116,evaluation
35.0,57.104492,evaluation
49.95,59.600243,evaluation
56.02,63.615032,evaluation
49.45,62.251083,evaluation
43.32,59.119247,evaluation
49.52,64.329636,evaluation
48.6,63.597645,evaluation
40.0,62.685818,evaluation
31.6,62.67253,evaluation
34.65,58.299004,evaluation
39.5,55.103584,evaluation
35.2,53.320423,evaluation
39.55,53.588676,evaluation
51.58,55.292923,evaluation
51.95,57.734108,evaluation
56.08,57.59858,evaluation
49.6,57.58686,evaluation
39.72,60.269333,evaluation
35.95,57.71194,evaluation
32.25,55.32885,evaluation
32.5,53.959892,evaluation
32.88,52.8639,evaluation
