actual,prediction
42.37,33.2
38.3,31.18
35.75,29.8
44.98,30.7
52.08,29.0
52.8,31.9
55.42,27.8
46.38,26.62
36.55,27.42
39.88,24.58
41.65,23.52
39.35,22.9
38.65,22.55
40.35,23.92
38.6,23.82
39.2,24.67
39.48,24.08
52.42,25.98
56.22,30.05
54.18,37.4
49.9,38.35
48.62,39.33
47.92,38.02
43.38,36.1
39.85,29.38
46.12,29.62
33.15,28.8
25.2,26.1
26.45,25.62
30.95,25.85
39.88,26.5
38.42,28.0
31.35,28.68
36.05,28.22
36.25,27.72
35.15,29.6
39.45,32.42
46.88,34.42
46.8,35.38
53.62,34.38
54.25,34.75
62.75,40.28
57.55,47.95
47.68,51.08
46.18,46.45
45.08,46.03
42.28,41.75
42.25,40.0
36.98,39.0
31.3,35.25
26.75,35.4
23.0,38.48
19.5,35.7
20.27,44.23
23.38,44.03
32.2,39.7
39.9,37.3
46.22,36.42
59.98,39.6
77.7,45.55
95.65,49.35
105.1,51.1
96.5,54.32
72.3,49.15
61.3,47.9
73.1,60.15
84.82,59.72
68.8,65.55
48.3,70.33
43.3,63.45
42.12,61.0
39.88,63.28
31.07,58.25
34.05,63.8
40.3,65.0
36.85,67.55
35.72,63.53
37.9,63.25
37.75,63.12
36.7,63.38
36.0,58.88
43.5,60.38
65.7,62.78
103.52,74.0
98.98,74.43
84.68,74.9
79.18,69.8
77.6,66.92
70.78,66.82
69.48,68.0
69.3,70.68
59.55,91.62
54.82,93.9
56.42,88.78
54.7,85.38
48.38,80.35
40.53,74.05
37.2,71.28
33.3,70.6
33.4,68.52
29.8,64.62
33.62,62.1
35.4,62.53
33.15,63.75
30.5,64.38
30.08,69.68
29.4,72.7
30.45,65.05
32.55,65.92
41.75,64.3
43.25,61.97
45.75,59.85
46.25,59.3
57.65,60.0
59.62,64.68
53.62,71.95
44.72,72.85
46.08,70.1
41.88,62.35
36.17,57.25
28.78,57.05
33.22,61.18
32.85,65.6
37.12,65.65
38.98,62.75
32.33,59.08
32.05,58.78
41.42,59.3
41.82,59.95
44.62,59.7
40.33,60.32
40.92,56.9
48.03,62.65
53.25,59.38
49.2,54.45
43.28,47.6
41.02,49.08
39.9,51.72
43.68,57.38
42.18,54.68
42.1,53.3
44.92,46.22
37.9,42.2
29.1,40.08
25.17,41.12
25.52,39.9
24.1,39.6
25.3,39.52
24.38,38.68
23.5,38.53
26.35,37.75
27.8,39.08
27.85,40.83
29.7,40.95
32.12,41.82
34.85,44.22
31.75,46.47
34.45,46.2
36.05,43.6
35.28,43.52
35.0,45.2
49.95,49.08
56.02,58.15
49.45,60.22
43.32,68.7
49.52,68.15
48.6,63.45
40.0,60.32
31.6,59.65
34.65,61.58
39.5,48.75
35.2,44.45
39.55,43.05
51.58,44.28
51.95,47.62
56.08,47.8
49.6,50.18
39.72,58.78
35.95,49.8
32.25,44.3
32.5,43.7
32.88,42.28
35.17,41.4
31.55,43.2
63.28,55.38
85.68,65.8
89.2,101.18
83.75,106.35
77.97,99.12
66.75,93.7
59.47,77.6
42.0,72.92
40.25,62.02
48.9,53.1
53.98,58.28
48.38,56.95
31.62,53.22
35.28,50.4
50.15,51.4
56.58,50.68
84.75,87.72
77.52,99.75
77.42,75.85
65.82,71.55
71.25,66.15
77.65,55.55
76.5,53.65
82.1,53.92
94.85,55.68
86.72,64.35
70.65,74.48
57.1,93.18
43.8,77.65
39.15,71.18
33.8,64.43
30.68,57.65
26.88,57.32
25.5,55.8
23.42,58.3
30.32,57.53
43.6,63.0
39.58,62.55
40.2,60.3
38.17,60.23
41.92,64.2
50.85,67.85
60.9,79.92
50.18,69.25
50.75,71.58
49.18,75.42
51.6,76.5
47.45,83.58
57.65,72.53
59.02,62.85
56.3,70.05
47.6,70.42
51.55,65.15
44.62,60.22
51.28,59.02
41.4,63.53
34.95,65.78
31.3,64.8
28.15,66.82
27.4,63.68
28.72,55.03
32.7,52.45
36.3,52.7
32.25,58.4
36.3,61.82
35.75,67.18
36.12,72.4
38.38,71.47
38.35,55.92
35.65,55.03
36.62,56.75
47.78,60.32
55.9,62.07
53.82,56.5
60.0,53.55
63.65,46.08
59.58,44.92
52.92,42.92
47.85,57.3
47.45,59.2
38.2,53.7
33.05,46.8
32.92,46.05
23.28,43.08
30.05,49.22
34.02,49.78
42.05,53.05
38.47,52.4
40.2,62.88
48.85,67.55
42.12,61.2
57.62,58.2
42.78,47.8
41.48,41.82
37.12,40.45
34.1,39.22
38.8,41.88
47.82,45.7
50.0,55.72
52.92,62.75
57.62,61.18
54.62,59.85
46.55,52.12
36.35,48.4
37.28,46.18
31.35,43.7
28.05,43.18
26.1,38.92
32.95,38.38
36.85,38.1
30.58,38.35
30.1,38.83
31.18,39.65
28.08,44.1
27.95,42.92
30.5,40.5
35.6,42.05
36.25,41.85
38.12,41.58
33.95,41.15
42.3,46.22
49.9,52.95
57.52,59.32
