actual,prediction,split
58.1,49.60030377018621,evaluation
55.5,41.36689126991853,evaluation
53.6,40.57567208025045,evaluation
59.1,44.47072469550821,evaluation
61.02,48.317599164740784,evaluation
62.4,50.12706328835531,evaluation
62.72,51.12624818089486,evaluation
63.22,48.58670817081217,evaluation
58.62,43.4736649994755,evaluation
56.98,43.20796509799562,evaluation
59.28,44.28816142346919,evaluation
60.5,42.85271993775639,evaluation
65.12,44.85080344173253,evaluation
64.42,45.46522358084525,evaluation
64.5,44.913015328922896,evaluation
66.0,47.07861687514705,evaluation
67.52,46.36269626694422,evaluation
70.88,48.70588033047783,evaluation
71.05,48.46949399315332,evaluation
67.0,48.046398968317504,evaluation
72.55,46.38845787647912,evaluation
72.95,46.69269180517375,evaluation
69.42,48.50124663217217,evaluation
69.65,45.581579023870056,evaluation
62.02,44.492681349164194,evaluation
55.92,43.94159161760327,evaluation
52.6,40.18912177424718,evaluation
51.03,38.1833602304278,evaluation
57.52,37.71156997291386,evaluation
55.1,40.81681342488868,evaluation
50.68,44.992859173288565,evaluation
48.6,44.56791540302097,evaluation
48.78,41.57483266854822,evaluation
54.53,42.12309045717701,evaluation
58.45,42.33412281005072,evaluation
60.92,40.96937085644414,evaluation
68.53,41.13556861220256,evaluation
74.18,44.76353479431511,evaluation
73.68,46.50685900987354,evaluation
79.43,50.69385386583998,evaluation
81.88,53.35247495468853,evaluation
87.6,56.06296994144613,evaluation
82.7,54.49078342095024,evaluation
76.75,46.01078661618356,evaluation
76.53,44.92045108771859,evaluation
73.35,47.55461016975598,evaluation
70.0,44.50340050126584,evaluation
66.65,44.58008584175536,evaluation
59.62,42.1727909693077,evaluation
55.38,40.048025411650045,evaluation
56.4,37.39998802440718,evaluation
50.67,37.10244231113061,evaluation
51.12,37.31203232273259,evaluation
48.08,40.142476807667705,evaluation
48.18,39.35305436660529,evaluation
46.32,41.062010556872366,evaluation
47.9,42.32818053238088,evaluation
63.05,45.79309287107922,evaluation
79.22,50.60777044531776,evaluation
112.52,58.015362603109246,evaluation
131.7,65.32679594492153,evaluation
134.32,66.11549889441085,evaluation
128.8,67.26029156280946,evaluation
128.98,62.22837868840933,evaluation
107.75,59.06692432702881,evaluation
118.38,60.12674703786507,evaluation
113.38,63.67153647663347,evaluation
107.9,59.23840658110066,evaluation
98.18,49.47349299015596,evaluation
95.28,45.36120971559743,evaluation
84.72,48.15450295893563,evaluation
79.82,47.87024618939225,evaluation
65.28,42.00969103640675,evaluation
53.78,44.3653964735033,evaluation
47.4,46.93742537078132,evaluation
46.7,46.45375116629777,evaluation
53.58,44.86260402927308,evaluation
54.75,47.23664081672016,evaluation
58.98,46.861763195566525,evaluation
57.78,46.27165590054453,evaluation
55.92,44.8916661031216,evaluation
55.72,47.89985510448927,evaluation
64.43,57.37079791529293,evaluation
80.0,68.8414105040727,evaluation
78.0,67.93893675974954,evaluation
75.62,64.17415425881063,evaluation
78.62,64.4866738494619,evaluation
78.82,66.9011225663558,evaluation
69.98,62.25062376886165,evaluation
67.17,59.91280747791692,evaluation
65.52,59.92466777136204,evaluation
62.8,58.043153535346455,evaluation
65.03,56.94412253524729,evaluation
69.25,57.75576554627654,evaluation
64.85,57.72444486686105,evaluation
60.8,53.35514235293711,evaluation
51.05,48.920344735955176,evaluation
44.35,48.23411821024856,evaluation
46.8,44.67987998893905,evaluation
42.63,44.97652208824319,evaluation
42.72,42.7182199813016,evaluation
46.95,43.54336055723943,evaluation
45.1,45.16550930840909,evaluation
44.97,44.48256548740698,evaluation
43.45,44.055101773885184,evaluation
38.35,44.289491644115785,evaluation
40.48,44.70981659352453,evaluation
43.75,43.39003121591672,evaluation
49.15,45.69544973594783,evaluation
57.4,50.51993345792133,evaluation
56.7,51.99166743391277,evaluation
59.9,52.82526378216703,evaluation
63.68,54.07983325983997,evaluation
58.0,58.01219319199118,evaluation
61.88,56.428619354545006,evaluation
57.32,53.75778272072737,evaluation
56.47,49.74404330053662,evaluation
51.6,50.12881855715459,evaluation
55.58,48.99904041570559,evaluation
50.8,43.39686949581914,evaluation
46.25,42.101638801267455,evaluation
42.95,44.18924500785096,evaluation
43.8,44.38443677325174,evaluation
46.33,46.61410532936036,evaluation
42.4,47.66603609270008,evaluation
44.48,42.78579856532652,evaluation
46.75,42.14091653079917,evaluation
51.52,47.957756296019504,evaluation
55.03,48.955098796230985,evaluation
52.47,47.8502499801964,evaluation
56.3,46.84646069393752,evaluation
68.5,44.82652538108541,evaluation
80.38,50.87215658289872,evaluation
82.25,51.06556042419313,evaluation
80.7,49.07169472254171,evaluation
74.53,47.56167786317933,evaluation
68.42,46.48423323521154,evaluation
62.45,46.10706641253396,evaluation
66.03,45.782173366961054,evaluation
64.38,45.464656755715794,evaluation
61.32,44.03087666795829,evaluation
60.98,44.82063177201677,evaluation
61.1,41.98001460275222,evaluation
54.85,40.32458121099948,evaluation
50.8,39.08485189837867,evaluation
44.88,39.71313244731442,evaluation
43.3,38.44722545752929,evaluation
44.3,38.63697037621881,evaluation
44.35,37.35543702205791,evaluation
45.38,37.76312534809716,evaluation
45.25,39.45339782040784,evaluation
49.65,39.94807213371154,evaluation
52.25,40.29139146054965,evaluation
53.22,40.310612970876434,evaluation
55.53,39.43858419635799,evaluation
56.32,40.62344726039685,evaluation
58.68,39.71025409480838,evaluation
56.1,41.73942415530024,evaluation
57.53,42.35741516454786,evaluation
58.3,42.276953544462295,evaluation
62.65,42.677817655221496,evaluation
66.85,51.40764760902208,evaluation
76.3,50.88149053992018,evaluation
72.32,48.50886588284053,evaluation
62.6,46.30143639110374,evaluation
76.57,50.63139481678043,evaluation
73.45,52.75784883403888,evaluation
70.97,49.40918664020703,evaluation
70.38,45.11245375808088,evaluation
57.85,45.98616890356047,evaluation
58.63,43.73872472824717,evaluation
57.22,40.68577142119892,evaluation
58.68,41.16003999214635,evaluation
59.92,50.86219234082782,evaluation
63.42,54.51258222060673,evaluation
62.4,57.83240064481074,evaluation
61.05,51.187012863918014,evaluation
66.78,45.12351982401397,evaluation
64.1,42.793776410829295,evaluation
61.25,41.038179331787326,evaluation
58.45,40.34070877366887,evaluation
57.55,39.63639614302217,evaluation
57.72,40.66436607317215,evaluation
60.2,39.48672275083218,evaluation
72.47,55.46007947936265,evaluation
91.7,63.86633169496897,evaluation
96.8,67.78142913594343,evaluation
94.4,66.25755897535522,evaluation
95.72,65.2397992544465,evaluation
88.6,60.21784061695604,evaluation
87.9,56.741102299813626,evaluation
82.52,48.19790232366414,evaluation
76.2,46.20611024887005,evaluation
72.1,45.05271557884672,evaluation
67.33,48.69972492677452,evaluation
73.28,45.922324263425736,evaluation
70.72,39.5275626292705,evaluation
65.7,39.53638340438519,evaluation
68.92,45.05369568623996,evaluation
75.78,49.55577967400217,evaluation
73.5,63.8862329042682,evaluation
68.82,64.88017614653435,evaluation
71.35,64.05710339220623,evaluation
68.45,60.82103789452155,evaluation
93.38,60.01209489415243,evaluation
81.65,61.89391019363728,evaluation
70.82,58.79988444995021,evaluation
65.68,60.925721100658414,evaluation
70.07,66.45806521013775,evaluation
88.8,66.07337314532538,evaluation
84.72,60.9094664339881,evaluation
80.82,59.8879739902913,evaluation
86.1,52.00859588153188,evaluation
82.48,50.26627693476407,evaluation
78.4,44.49216246184438,evaluation
68.42,41.38184756022305,evaluation
62.92,40.83448077012778,evaluation
63.1,41.54312606790252,evaluation
56.7,40.486813492280014,evaluation
55.82,41.05451830553042,evaluation
50.68,46.96985602656114,evaluation
51.5,47.82632704581406,evaluation
53.08,48.34481346183241,evaluation
52.58,46.060070040610015,evaluation
52.22,48.16598999043783,evaluation
55.05,54.18993105852071,evaluation
53.82,58.49845780204444,evaluation
52.12,54.09960782927367,evaluation
55.68,54.243234881085584,evaluation
53.35,53.867877223305285,evaluation
53.78,55.45952184006427,evaluation
52.08,54.51416765129234,evaluation
52.45,58.01888028182113,evaluation
59.95,56.31609419069317,evaluation
63.88,57.53508673189415,evaluation
64.07,52.33453879135547,evaluation
63.52,52.64716209699599,evaluation
57.85,49.24904569073455,evaluation
61.22,49.92977230456154,evaluation
48.48,47.52983874482311,evaluation
48.8,44.24340481941687,evaluation
46.5,43.157451821198514,evaluation
42.27,43.45844988553327,evaluation
39.9,41.91018434330236,evaluation
42.12,40.7876403680095,evaluation
41.9,42.1630363138066,evaluation
42.15,43.4157837271062,evaluation
42.9,41.96027155718744,evaluation
45.3,45.95429601502164,evaluation
49.58,46.35261008085688,evaluation
50.48,48.89320147927358,evaluation
51.53,50.80426002752493,evaluation
51.2,47.16682544624102,evaluation
50.75,46.28037231668272,evaluation
50.42,45.90925159762982,evaluation
58.48,51.14801652481192,evaluation
67.4,53.892391423608295,evaluation
64.55,50.383828940676864,evaluation
64.3,52.81266283181984,evaluation
67.22,55.5902112294552,evaluation
61.52,52.28405465517147,evaluation
59.13,48.70321760122544,evaluation
52.42,46.67839997079649,evaluation
56.32,48.43967447478827,evaluation
49.05,43.6178676751279,evaluation
46.5,41.55929979769223,evaluation
56.1,42.17194791707273,evaluation
53.42,38.06692124604313,evaluation
49.82,40.10068334611662,evaluation
51.5,42.44610018491615,evaluation
49.9,43.22043280592026,evaluation
51.15,44.23176363064328,evaluation
53.35,47.79937520074132,evaluation
44.38,50.97022973885333,evaluation
42.48,47.91426063746492,evaluation
49.88,52.37948221004208,evaluation
59.72,46.31789916098423,evaluation
66.78,43.68216133514999,evaluation
63.3,42.00779783127934,evaluation
62.9,41.23503952414457,evaluation
61.0,42.54349165844048,evaluation
62.32,46.43959664517861,evaluation
62.38,47.31065585334249,evaluation
64.18,52.65244940555506,evaluation
65.92,54.06870755357106,evaluation
65.62,52.06145364293091,evaluation
64.4,46.037236554086704,evaluation
62.28,41.80478268228481,evaluation
57.2,41.91523437258167,evaluation
49.7,38.37602274211988,evaluation
45.9,38.34136385123606,evaluation
37.53,38.43445981521423,evaluation
44.88,38.555501776381206,evaluation
41.9,39.69215493097214,evaluation
41.88,38.56546567600253,evaluation
44.05,38.894831069681096,evaluation
46.22,39.13805692590424,evaluation
46.52,38.745921004413866,evaluation
46.73,38.78402805805652,evaluation
49.53,39.43386558159469,evaluation
54.6,39.700441802909765,evaluation
57.48,40.604248243558416,evaluation
60.8,42.1819045944908,evaluation
59.45,40.16352998431701,evaluation
61.38,44.955591625625445,evaluation
56.5,47.40296096694458,evaluation
59.12,53.28826567736546,evaluation
62.25,48.06790579699396,evaluation
60.78,46.48554793955538,evaluation
59.28,45.52054824269619,evaluation
60.35,44.61927774058551,evaluation
52.05,43.03666430194782,evaluation
45.15,43.54587420077246,evaluation
43.8,40.39543396846213,evaluation
42.4,43.61184306822709,evaluation
46.05,38.88214348074903,evaluation
53.7,38.24001007762869,evaluation
51.1,38.73949715412511,evaluation
48.4,38.98105058576939,evaluation
50.55,39.21273720092998,evaluation
51.37,40.57619492581118,evaluation
50.12,41.11261539915221,evaluation
56.6,38.23200651723588,evaluation
57.78,40.796589044100486,evaluation
62.08,43.92953182187337,evaluation
65.6,44.08698419968832,evaluation
26.75,52.64432900339404,evaluation
51.05,56.6855860919925,evaluation
45.02,51.78588843299306,evaluation
46.4,49.78683284124392,evaluation
45.15,48.32426459200205,evaluation
47.52,49.26521440969966,evaluation
40.15,53.50162948394805,evaluation
43.4,51.42406299998813,evaluation
41.22,46.3309418342676,evaluation
41.38,46.17943053119573,evaluation
38.67,43.48533322405277,evaluation
40.6,43.12144997244484,evaluation
42.95,42.5611324071993,evaluation
36.57,42.237558949317,evaluation
33.2,40.55122306749073,evaluation
36.93,39.53579304865613,evaluation
39.55,42.57988589219357,evaluation
40.4,42.17003983382882,evaluation
46.2,42.92053545173954,evaluation
45.22,42.95608940967593,evaluation
43.18,41.86340319019444,evaluation
45.8,44.31340389850506,evaluation
45.78,43.797910724212585,evaluation
41.68,44.82222749857241,evaluation
42.7,50.76363823300488,evaluation
31.03,47.41027401569509,evaluation
26.55,48.28462431830359,evaluation
26.7,44.12197203702161,evaluation
34.4,50.66904111933821,evaluation
69.77,54.61254203144882,evaluation
66.35,53.8481541198378,evaluation
71.03,52.17665849942264,evaluation
68.75,54.753342678977,evaluation
67.2,54.524661919041584,evaluation
68.42,53.3576706447694,evaluation
64.7,45.648491362737126,evaluation
61.8,43.62604356001735,evaluation
54.2,45.60765181792019,evaluation
54.0,46.77880928566648,evaluation
53.3,45.88891756670608,evaluation
53.78,46.23792177055243,evaluation
56.55,45.613533970209936,evaluation
55.35,48.57130069058243,evaluation
57.52,53.813292603600246,evaluation
62.1,54.974421427173255,evaluation
61.6,52.7258630971081,evaluation
58.75,52.67949594774833,evaluation
57.42,50.08734918018487,evaluation
55.05,49.50889498397538,evaluation
52.05,40.64542437389158,evaluation
48.65,42.28444285319642,evaluation
45.5,40.47844795916696,evaluation
46.07,39.706228261200025,evaluation
41.9,43.38763920658176,evaluation
43.95,40.21881276797272,evaluation
47.1,40.4006456826157,evaluation
51.38,50.23291309236041,evaluation
48.03,45.37382192602762,evaluation
47.12,45.18004256798106,evaluation
50.8,45.07533313933374,evaluation
67.57,51.53832872499181,evaluation
65.72,49.833537820307605,evaluation
64.75,56.02247786189887,evaluation
70.38,54.29163129043592,evaluation
78.5,59.12849867646562,evaluation
71.6,59.74594812624725,evaluation
72.0,61.27171528411886,evaluation
68.45,67.25371131085558,evaluation
75.32,64.67335826785823,evaluation
71.95,63.72420982162087,evaluation
73.27,59.49255199966761,evaluation
68.25,60.06634446463266,evaluation
61.48,54.00820400930903,evaluation
59.38,46.22744744882939,evaluation
58.7,46.66593335103922,evaluation
53.8,44.67043374642253,evaluation
56.07,43.85381294250129,evaluation
60.6,42.72421206919975,evaluation
59.72,41.0644799856585,evaluation
63.95,41.46316901449746,evaluation
65.5,41.189018182592406,evaluation
68.22,41.37547330449215,evaluation
96.35,64.56714021445246,evaluation
93.5,71.94330674552477,evaluation
95.2,70.73011010894977,evaluation
86.62,69.41704863998989,evaluation
91.7,65.85440787188045,evaluation
95.02,57.98689397326205,evaluation
88.25,56.83869348976953,evaluation
88.02,58.062269044192014,evaluation
98.98,63.88620869584838,evaluation
104.6,68.77214184375597,evaluation
100.48,70.06389836608815,evaluation
101.02,65.81893432622257,evaluation
95.92,65.74980022624862,evaluation
107.45,62.14439566328696,evaluation
95.62,66.31076423284281,evaluation
92.8,60.12705903954512,evaluation
89.45,58.08972851740872,evaluation
78.6,56.33863963222554,evaluation
73.9,52.20366925389619,evaluation
69.1,51.29247698925585,evaluation
72.97,54.34008494132141,evaluation
79.02,55.65302097452864,evaluation
79.28,53.55030405448574,evaluation
80.3,51.26389919188552,evaluation
80.58,53.875435998667065,evaluation
79.35,56.94125850658956,evaluation
74.55,49.46124051972262,evaluation
73.5,46.74781755425254,evaluation
74.15,46.64783890490588,evaluation
79.93,45.03561693778252,evaluation
78.22,48.19128862957775,evaluation
81.22,48.78419752675641,evaluation
82.3,56.12400351826281,evaluation
80.7,66.28992290746099,evaluation
84.38,68.12387881478878,evaluation
85.58,65.5774087434154,evaluation
84.52,65.17215554733812,evaluation
93.78,62.74375747088315,evaluation
94.02,61.87794540606537,evaluation
87.35,58.62053221505192,evaluation
81.22,55.11789095273552,evaluation
87.6,53.69896810548123,evaluation
69.03,56.61535524456012,evaluation
66.58,50.86840226780062,evaluation
65.3,52.179459056583255,evaluation
73.6,58.857987664086,evaluation
71.8,60.51345587165312,evaluation
77.85,58.579318006014255,evaluation
79.47,51.17842091833294,evaluation
75.45,49.3103170849756,evaluation
76.9,46.97699087459743,evaluation
79.82,45.82033742195596,evaluation
76.12,48.44790113100382,evaluation
79.78,49.05399424639152,evaluation
83.82,52.41903971901766,evaluation
90.15,49.83740195152587,evaluation
94.58,57.4932872747652,evaluation
86.6,64.4782598946409,evaluation
92.4,70.6318881147643,evaluation
96.28,72.06844591088782,evaluation
95.15,71.40455041536806,evaluation
105.08,69.98957322848553,evaluation
103.15,65.73691181305193,evaluation
96.55,59.44022430974811,evaluation
87.75,52.37622601514455,evaluation
90.2,52.64050910890207,evaluation
76.57,53.78324662058058,evaluation
74.18,52.24682665909189,evaluation
84.25,53.85539804011621,evaluation
77.53,57.16123440267074,evaluation
80.6,58.81174166816918,evaluation
90.82,58.71739903744628,evaluation
85.62,54.91952941421592,evaluation
76.2,55.895856366284335,evaluation
22.9,53.10976684535253,evaluation
46.7,48.83768990376383,evaluation
38.58,48.56276206064694,evaluation
48.28,50.52285487834717,evaluation
65.52,51.97919663434751,evaluation
91.32,60.77419939780218,evaluation
107.22,69.9050061058213,evaluation
103.95,71.26615929685357,evaluation
97.5,66.40608334635378,evaluation
106.3,63.33917544504299,evaluation
110.15,62.39782237559685,evaluation
110.6,63.9741052596819,evaluation
97.4,62.54415414628585,evaluation
89.43,60.33331705282544,evaluation
75.4,56.29584366681275,evaluation
77.93,52.59164155336878,evaluation
77.53,46.90443936556358,evaluation
83.62,46.24937138934758,evaluation
77.15,50.059861750346045,evaluation
76.47,51.80972052902821,evaluation
95.02,64.00272403112837,evaluation
90.6,60.93288757625238,evaluation
87.38,56.63799132080042,evaluation
81.88,50.77644041354921,evaluation
74.48,45.64667734244436,evaluation
69.55,43.09746507051377,evaluation
69.15,43.96435688721045,evaluation
72.78,43.51336718653781,evaluation
81.9,53.86681728983271,evaluation
92.05,65.12071234323966,evaluation
99.55,69.39679439899076,evaluation
104.5,64.96539647149115,evaluation
96.52,67.40709813474732,evaluation
95.88,62.38955887061294,evaluation
99.25,61.212985923909294,evaluation
93.7,56.84017163955202,evaluation
89.62,55.19622313510816,evaluation
85.8,49.600969688294,evaluation
83.77,52.10169541340855,evaluation
78.22,51.06817662737942,evaluation
80.53,54.39064669270036,evaluation
78.92,55.90646072231642,evaluation
73.32,55.34136634964806,evaluation
70.85,54.326558222181504,evaluation
72.92,52.60322102184263,evaluation
73.68,47.47817224802271,evaluation
72.7,44.62369147101896,evaluation
73.52,46.44786622673279,evaluation
69.8,42.71716068928218,evaluation
69.38,43.102421422814494,evaluation
70.8,42.874115868913776,evaluation
69.72,41.00965796569072,evaluation
82.28,47.16889190228575,evaluation
92.78,60.11716412567152,evaluation
104.38,66.56743774470428,evaluation
108.3,68.7224551885024,evaluation
104.5,68.16732713807531,evaluation
98.12,65.08338379714334,evaluation
91.35,59.12967875667655,evaluation
86.8,57.22614292978477,evaluation
82.4,58.85493082186632,evaluation
80.6,54.97078763201527,evaluation
75.3,51.63778512455174,evaluation
70.5,54.02208007923819,evaluation
74.9,53.50878259787876,evaluation
71.77,52.09085089019764,evaluation
74.28,56.23329107361424,evaluation
