actual,prediction
58.1,32.86666666666667
55.5,30.05
53.6,28.15
59.1,32.160000000000004
61.02,34.276666666666664
62.4,35.96666666666667
62.72,35.24666666666666
63.22,32.223333333333336
58.62,29.23
56.98,28.12
59.28,28.19666666666667
60.5,27.0
65.12,26.98333333333333
64.42,28.840000000000003
64.5,27.88
66.0,29.25666666666667
67.52,29.40333333333333
70.88,33.13333333333333
71.05,35.0
67.0,37.52666666666667
72.55,36.64333333333334
72.95,37.016666666666666
69.42,37.36333333333334
69.65,35.03333333333333
62.02,31.149999999999995
55.92,31.99666666666667
52.6,27.05
51.03,23.64
57.52,23.49
55.1,25.906666666666663
50.68,29.066666666666663
48.6,29.923333333333336
48.78,27.876666666666665
54.53,28.396666666666665
58.45,28.256666666666664
60.92,28.456666666666667
68.53,30.60666666666667
74.18,34.373333333333335
73.68,35.60999999999999
79.43,37.43333333333334
81.88,38.6
87.6,42.68333333333334
82.7,42.69333333333333
76.75,39.86333333333333
76.53,37.71666666666667
73.35,38.76
70.0,36.016666666666666
66.65,35.36666666666667
59.62,33.626666666666665
55.38,29.293333333333333
56.4,26.316666666666663
50.67,27.093333333333334
51.12,25.69333333333333
48.08,29.45
48.18,30.376666666666665
46.32,31.950000000000003
47.9,33.61
63.05,35.00666666666667
79.22,39.71
112.52,47.75
131.7,56.30666666666667
134.32,60.68333333333333
128.8,59.91333333333333
128.98,50.13333333333333
107.75,45.52666666666666
118.38,53.05
113.38,55.79
107.9,52.86666666666667
98.18,46.39333333333334
95.28,41.74333333333333
84.72,41.873333333333335
79.82,42.07
65.28,38.27333333333333
53.78,39.9
47.4,41.56666666666666
46.7,41.53333333333333
53.58,39.876666666666665
54.75,40.93333333333333
58.98,41.35666666666666
57.78,41.74333333333333
55.92,40.553333333333335
55.72,41.833333333333336
64.43,49.32666666666668
80.0,65.61333333333333
78.0,65.20333333333333
75.62,61.56
78.62,59.79333333333333
78.82,59.45666666666667
69.98,56.91666666666666
67.17,54.71
65.52,54.67666666666667
62.8,58.03
65.03,57.05666666666667
69.25,56.39333333333334
64.85,55.620000000000005
60.8,51.44333333333333
51.05,46.78666666666667
44.35,43.76
46.8,40.86666666666667
42.63,41.11333333333334
42.72,38.67333333333334
46.95,39.806666666666665
45.1,41.336666666666666
44.97,40.67333333333333
43.45,40.736666666666665
38.35,40.47
40.48,41.083333333333336
43.75,39.873333333333335
49.15,41.69
57.4,45.84333333333333
56.7,47.01666666666667
59.9,46.16
63.68,47.10999999999999
58.0,50.60999999999999
61.88,50.71666666666667
57.32,49.82333333333333
56.47,47.01666666666667
51.6,46.48666666666666
55.58,43.98333333333333
50.8,39.00666666666667
46.25,37.46666666666667
42.95,39.76
43.8,39.68333333333333
46.33,41.196666666666665
42.4,41.11666666666667
44.48,37.836666666666666
46.75,38.07666666666666
51.52,42.440000000000005
55.03,43.23
52.47,42.70000000000001
56.3,40.45666666666667
68.5,39.723333333333336
80.38,44.56666666666666
82.25,45.303333333333335
80.7,42.97666666666667
74.53,39.03333333333333
68.42,39.96666666666667
62.45,38.9
66.03,41.22666666666667
64.38,39.49333333333333
61.32,38.72666666666667
60.98,37.22
61.1,34.46
54.85,31.75333333333333
50.8,31.67
44.88,29.706666666666667
43.3,27.666666666666668
44.3,28.12333333333333
44.35,27.00333333333333
45.38,27.71
45.25,29.383333333333336
49.65,31.46
52.25,32.51
53.22,31.876666666666665
55.53,31.44666666666667
56.32,33.23
58.68,32.43333333333333
56.1,34.13333333333333
57.53,34.656666666666666
58.3,35.85
62.65,36.873333333333335
66.85,42.98333333333333
76.3,45.473333333333336
72.32,43.14666666666667
62.6,43.34666666666667
76.57,46.39666666666667
73.45,46.26666666666667
70.97,42.95666666666667
70.38,40.76666666666667
57.85,42.25
58.63,35.766666666666666
