algorithm,station,period,period_start,period_end,RMSE,R2
Baseline: Average of Other Stations,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,47.89054954068264,0.779797701792033
Baseline: Average of Other Stations,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,39.62759560645802,0.8005537988460336
Baseline: Average of Other Stations,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,42.336344600718014,0.8306547551170911
Baseline: Average of Other Stations,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,40.89864715307126,0.7998449205081862
Baseline: Replace with Station 124,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,,
Baseline: Replace with Station 124,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,44.93095276841399,0.743597898836108
Baseline: Replace with Station 124,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,59.44589341689204,0.666120304789368
Baseline: Replace with Station 124,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,61.0761525862321,0.5536330062235194
Baseline: Replace with Station 1421,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,44.93095276841399,0.8061733623091855
Baseline: Replace with Station 1421,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,,
Baseline: Replace with Station 1421,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,55.239191611177525,0.7117024709818219
Baseline: Replace with Station 1421,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,50.84914910845307,0.6906029911827184
Baseline: Replace with Station 1426,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,59.44589341689204,0.6607140129172974
Baseline: Replace with Station 1426,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,55.239191611177525,0.6124524885168892
Baseline: Replace with Station 1426,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,,
Baseline: Replace with Station 1426,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,39.62520225756136,0.8121151706298253
Baseline: Replace with Station 5024,124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,61.0761525862321,0.641849510543328
Baseline: Replace with Station 5024,1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,50.84914910845307,0.6716041170156641
Baseline: Replace with Station 5024,1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,39.62520225756136,0.8516494108525642
Baseline: Replace with Station 5024,5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,,
BiLSTM (PM2.5),124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,40.866121307631126,0.8396573541043032
BiLSTM (PM2.5),1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,31.023220141735557,0.8777626086512839
BiLSTM (PM2.5),1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,35.46264281300244,0.881180290306851
BiLSTM (PM2.5),5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,32.50368926433732,0.8735805065871435
Extra Trees (PM2.5),124,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,41.39001448307559,0.8355198994147058
Extra Trees (PM2.5),1421,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,31.09309467570101,0.8772113506189685
Extra Trees (PM2.5),1426,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,36.08879764470812,0.8769473084321631
Extra Trees (PM2.5),5024,period_01,2025-01-01T00:00:00,2025-12-31T23:59:59,32.58582297069744,0.8729407994899363
