actual,prediction,split
199.0,225.75725,evaluation
190.0,195.85329,evaluation
168.0,213.81702,evaluation
141.0,198.18434,evaluation
110.0,183.10457,evaluation
111.0,161.71889,evaluation
111.0,140.31976,evaluation
99.0,127.16402,evaluation
105.0,132.95287,evaluation
113.0,121.463104,evaluation
134.0,134.44032,evaluation
141.0,140.38435,evaluation
146.0,143.15648,evaluation
147.0,144.02028,evaluation
145.0,137.71815,evaluation
140.0,130.85933,evaluation
141.0,135.49974,evaluation
132.0,125.216805,evaluation
139.0,138.22551,evaluation
155.0,182.24405,evaluation
162.0,193.61763,evaluation
186.0,188.73486,evaluation
204.0,180.6524,evaluation
185.0,171.12617,evaluation
119.0,151.64635,evaluation
121.0,138.61276,evaluation
134.0,143.63203,evaluation
134.0,158.11415,evaluation
149.0,160.2727,evaluation
156.0,163.71913,evaluation
168.0,159.91058,evaluation
171.0,155.62563,evaluation
161.0,153.08372,evaluation
162.0,153.03702,evaluation
175.0,162.5103,evaluation
177.0,179.85669,evaluation
169.0,171.55617,evaluation
177.0,169.7529,evaluation
179.0,164.48335,evaluation
177.0,163.88753,evaluation
180.0,170.10037,evaluation
200.0,183.54091,evaluation
206.0,199.15404,evaluation
224.0,216.86882,evaluation
257.0,232.53369,evaluation
307.0,237.2592,evaluation
335.0,226.37791,evaluation
309.0,213.2786,evaluation
276.0,225.5828,evaluation
246.0,222.69638,evaluation
240.0,208.52988,evaluation
230.0,202.52663,evaluation
219.0,203.32545,evaluation
232.0,192.40913,evaluation
184.0,165.20222,evaluation
155.0,140.5851,evaluation
128.0,131.7137,evaluation
133.0,133.70721,evaluation
122.0,162.35205,evaluation
167.0,198.56548,evaluation
180.0,247.35213,evaluation
251.0,291.3029,evaluation
311.0,235.66403,evaluation
235.0,218.92929,evaluation
204.0,168.54497,evaluation
156.0,152.8662,evaluation
155.0,163.12846,evaluation
221.0,214.77237,evaluation
238.0,227.8473,evaluation
313.0,292.14423,evaluation
295.0,263.6741,evaluation
273.0,171.75813,evaluation
254.0,134.64697,evaluation
212.0,131.0201,evaluation
146.0,123.59383,evaluation
130.0,125.69379,evaluation
136.0,132.56105,evaluation
117.0,155.38142,evaluation
101.0,138.26575,evaluation
86.0,119.020935,evaluation
91.0,113.943924,evaluation
91.0,123.58852,evaluation
121.0,124.173386,evaluation
226.0,188.21806,evaluation
172.0,205.04811,evaluation
205.0,198.0204,evaluation
216.0,220.99068,evaluation
233.0,237.0147,evaluation
219.0,204.93452,evaluation
230.0,194.1905,evaluation
221.0,211.55962,evaluation
235.0,226.76051,evaluation
318.0,282.63614,evaluation
364.0,308.58755,evaluation
339.0,310.43814,evaluation
328.0,303.3983,evaluation
273.0,280.6387,evaluation
233.0,236.70825,evaluation
216.0,206.41609,evaluation
189.0,186.90378,evaluation
163.0,170.1061,evaluation
130.0,147.75395,evaluation
114.0,126.40123,evaluation
106.0,107.80173,evaluation
101.0,101.05206,evaluation
107.0,107.5339,evaluation
160.0,144.47618,evaluation
193.0,158.0776,evaluation
211.0,166.09087,evaluation
232.0,192.43867,evaluation
243.0,186.2386,evaluation
234.0,206.07971,evaluation
219.0,213.84172,evaluation
184.0,191.61201,evaluation
178.0,173.70845,evaluation
197.0,182.69023,evaluation
232.0,237.20567,evaluation
266.0,260.25345,evaluation
221.0,210.18379,evaluation
219.0,229.42273,evaluation
218.0,221.52641,evaluation
208.0,176.47661,evaluation
182.0,171.7677,evaluation
199.0,178.82634,evaluation
202.0,180.00519,evaluation
175.0,176.1725,evaluation
158.0,172.07918,evaluation
172.0,171.48729,evaluation
178.0,170.81798,evaluation
141.0,160.23984,evaluation
127.0,141.4254,evaluation
127.0,148.33574,evaluation
195.0,179.8062,evaluation
219.0,181.75174,evaluation
182.0,169.18944,evaluation
166.0,162.01643,evaluation
161.0,146.89581,evaluation
183.0,151.31836,evaluation
183.0,157.25897,evaluation
169.0,166.25609,evaluation
177.0,169.06993,evaluation
173.0,168.73335,evaluation
164.0,166.49094,evaluation
161.0,140.02374,evaluation
151.0,124.001785,evaluation
144.0,117.36136,evaluation
134.0,132.70274,evaluation
141.0,134.84258,evaluation
144.0,134.26036,evaluation
141.0,126.00134,evaluation
113.0,110.37184,evaluation
107.0,108.38465,evaluation
130.0,121.50351,evaluation
144.0,152.10472,evaluation
153.0,164.51767,evaluation
167.0,172.45467,evaluation
167.0,190.1368,evaluation
183.0,177.81622,evaluation
155.0,160.14821,evaluation
149.0,155.87752,evaluation
153.0,143.64647,evaluation
144.0,149.20268,evaluation
171.0,183.30476,evaluation
188.0,198.73653,evaluation
177.0,224.41539,evaluation
219.0,226.13895,evaluation
223.0,226.97525,evaluation
194.0,240.76117,evaluation
138.0,159.54034,evaluation
136.0,121.987045,evaluation
112.0,130.04237,evaluation
114.0,126.99631,evaluation
112.0,122.18158,evaluation
113.0,131.16765,evaluation
122.0,131.38063,evaluation
147.0,127.50014,evaluation
155.0,132.14226,evaluation
171.0,126.244125,evaluation
136.0,133.00084,evaluation
96.0,97.05315,evaluation
84.0,86.24577,evaluation
70.0,70.61869,evaluation
62.0,78.86688,evaluation
64.0,79.467285,evaluation
72.0,85.24516,evaluation
96.0,98.09323,evaluation
123.0,128.32649,evaluation
233.0,174.74507,evaluation
235.0,209.63135,evaluation
216.0,249.98601,evaluation
509.0,241.05504,evaluation
576.0,263.90152,evaluation
425.0,267.9034,evaluation
412.0,259.94717,evaluation
437.0,253.5898,evaluation
342.0,223.73926,evaluation
321.0,270.9299,evaluation
328.0,251.45717,evaluation
366.0,250.03023,evaluation
387.0,276.51157,evaluation
326.0,256.10458,evaluation
411.0,273.9662,evaluation
326.0,265.66647,evaluation
342.0,251.29425,evaluation
321.0,247.63496,evaluation
239.0,318.88058,evaluation
196.0,228.96394,evaluation
194.0,202.58406,evaluation
186.0,181.65709,evaluation
205.0,196.78993,evaluation
237.0,255.4714,evaluation
235.0,268.34387,evaluation
226.0,276.0732,evaluation
229.0,294.89594,evaluation
249.0,312.75644,evaluation
299.0,315.492,evaluation
276.0,303.27768,evaluation
185.0,330.36578,evaluation
189.0,256.82892,evaluation
161.0,181.81401,evaluation
172.0,184.22208,evaluation
183.0,171.5772,evaluation
184.0,183.32416,evaluation
208.0,183.3213,evaluation
204.0,166.85834,evaluation
160.0,155.00243,evaluation
199.0,176.89818,evaluation
224.0,234.48814,evaluation
239.0,256.69995,evaluation
299.0,257.66827,evaluation
296.0,265.69742,evaluation
298.0,258.82523,evaluation
261.0,244.23013,evaluation
239.0,245.58287,evaluation
237.0,242.70345,evaluation
260.0,260.20334,evaluation
299.0,303.58078,evaluation
353.0,348.42365,evaluation
208.0,350.93973,evaluation
287.0,315.0362,evaluation
340.0,272.43008,evaluation
255.0,250.27602,evaluation
199.0,205.4835,evaluation
189.0,156.52834,evaluation
199.0,170.6688,evaluation
153.0,159.71822,evaluation
122.0,137.10399,evaluation
116.0,127.323685,evaluation
140.0,127.83057,evaluation
152.0,148.59195,evaluation
174.0,176.78937,evaluation
216.0,206.87758,evaluation
204.0,200.03523,evaluation
182.0,169.09694,evaluation
177.0,173.9481,evaluation
201.0,192.32158,evaluation
207.0,225.47113,evaluation
196.0,204.26306,evaluation
128.0,182.58186,evaluation
114.0,144.23593,evaluation
91.0,105.41082,evaluation
85.0,94.95688,evaluation
75.0,117.75218,evaluation
81.0,171.82979,evaluation
74.0,170.67043,evaluation
79.0,118.14449,evaluation
77.0,116.67235,evaluation
77.0,117.98175,evaluation
80.0,147.25633,evaluation
80.0,120.951996,evaluation
90.0,158.67923,evaluation
107.0,183.65828,evaluation
140.0,303.89334,evaluation
190.0,216.43304,evaluation
151.0,165.56909,evaluation
172.0,149.69527,evaluation
144.0,155.01003,evaluation
153.0,147.12035,evaluation
127.0,131.9151,evaluation
123.0,124.023476,evaluation
122.0,136.45029,evaluation
139.0,146.12892,evaluation
139.0,155.57832,evaluation
163.0,166.61958,evaluation
164.0,182.23878,evaluation
173.0,174.34906,evaluation
171.0,160.61235,evaluation
150.0,152.99887,evaluation
125.0,135.59238,evaluation
121.0,126.75912,evaluation
101.0,114.06572,evaluation
83.0,99.039665,evaluation
68.0,84.397575,evaluation
72.0,75.65658,evaluation
72.0,80.06476,evaluation
72.0,87.379555,evaluation
70.0,77.52513,evaluation
81.0,81.35705,evaluation
86.0,89.57716,evaluation
99.0,96.7859,evaluation
103.0,98.84235,evaluation
105.0,105.99048,evaluation
112.0,109.824234,evaluation
103.0,107.75359,evaluation
94.0,103.11701,evaluation
99.0,109.32104,evaluation
125.0,126.71872,evaluation
164.0,146.27803,evaluation
162.0,159.39445,evaluation
145.0,146.85097,evaluation
130.0,134.70026,evaluation
119.0,127.08357,evaluation
138.0,135.61061,evaluation
173.0,178.3687,evaluation
145.0,157.02663,evaluation
123.0,147.95538,evaluation
152.0,166.69963,evaluation
124.0,148.2523,evaluation
125.0,130.36552,evaluation
143.0,124.19241,evaluation
134.0,126.048485,evaluation
156.0,131.27042,evaluation
149.0,135.65755,evaluation
155.0,138.35121,evaluation
156.0,140.19344,evaluation
146.0,139.05675,evaluation
190.0,187.00444,evaluation
191.0,233.28659,evaluation
223.0,247.34521,evaluation
216.0,228.64687,evaluation
239.0,237.53273,evaluation
228.0,240.33841,evaluation
207.0,237.91843,evaluation
207.0,233.51717,evaluation
201.0,252.28033,evaluation
252.0,246.20175,evaluation
230.0,250.53883,evaluation
237.0,227.5649,evaluation
208.0,216.9164,evaluation
185.0,213.91225,evaluation
164.0,195.94112,evaluation
162.0,182.2312,evaluation
146.0,167.72336,evaluation
138.0,162.43864,evaluation
119.0,143.11601,evaluation
107.0,124.83686,evaluation
88.0,115.87441,evaluation
103.0,126.70021,evaluation
100.0,124.12928,evaluation
106.0,128.6013,evaluation
147.0,118.45331,evaluation
156.0,127.30921,evaluation
155.0,129.71207,evaluation
164.0,120.23341,evaluation
162.0,117.09511,evaluation
153.0,132.73808,evaluation
150.0,163.42699,evaluation
218.0,231.98424,evaluation
266.0,272.9816,evaluation
256.0,293.82904,evaluation
227.0,233.46272,evaluation
212.0,198.4642,evaluation
150.0,168.48012,evaluation
130.0,164.7858,evaluation
127.0,122.35753,evaluation
124.0,124.756,evaluation
124.0,122.139824,evaluation
114.0,113.00124,evaluation
100.0,103.141174,evaluation
96.0,104.52945,evaluation
99.0,112.613205,evaluation
101.0,118.842896,evaluation
105.0,125.59061,evaluation
116.0,126.004456,evaluation
119.0,129.48425,evaluation
112.0,124.206,evaluation
106.0,114.50298,evaluation
105.0,103.17844,evaluation
99.0,106.00918,evaluation
90.0,100.28758,evaluation
90.0,96.80337,evaluation
97.0,97.99915,evaluation
105.0,98.851654,evaluation
100.0,101.25927,evaluation
108.0,95.89481,evaluation
123.0,113.15907,evaluation
140.0,141.86446,evaluation
141.0,150.71819,evaluation
156.0,152.92155,evaluation
197.0,164.57451,evaluation
147.0,160.688,evaluation
125.0,149.51004,evaluation
129.0,142.35768,evaluation
174.0,196.77153,evaluation
169.0,219.2472,evaluation
193.0,245.54514,evaluation
243.0,256.1906,evaluation
267.0,265.80725,evaluation
244.0,264.8901,evaluation
243.0,255.7116,evaluation
183.0,240.3531,evaluation
188.0,234.22842,evaluation
197.0,243.92545,evaluation
188.0,219.85472,evaluation
182.0,212.95021,evaluation
135.0,193.57948,evaluation
177.0,198.5168,evaluation
161.0,220.37202,evaluation
151.0,223.44464,evaluation
160.0,195.95459,evaluation
171.0,218.38977,evaluation
180.0,206.16125,evaluation
146.0,186.6695,evaluation
153.0,122.15547,evaluation
94.0,143.00502,evaluation
117.0,137.18492,evaluation
135.0,158.04591,evaluation
135.0,169.77165,evaluation
152.0,203.98444,evaluation
285.0,229.69923,evaluation
309.0,262.282,evaluation
328.0,285.7535,evaluation
289.0,247.87062,evaluation
199.0,175.91412,evaluation
145.0,163.63527,evaluation
133.0,163.28682,evaluation
141.0,162.77417,evaluation
136.0,147.79863,evaluation
134.0,147.60588,evaluation
130.0,147.88399,evaluation
133.0,141.95633,evaluation
138.0,148.58205,evaluation
135.0,153.42488,evaluation
144.0,153.16689,evaluation
134.0,138.01909,evaluation
110.0,114.62537,evaluation
86.0,89.90481,evaluation
84.0,94.98261,evaluation
99.0,106.336975,evaluation
103.0,114.6165,evaluation
108.0,120.32837,evaluation
123.0,130.63078,evaluation
138.0,151.08775,evaluation
168.0,178.76913,evaluation
182.0,182.88759,evaluation
221.0,190.41725,evaluation
204.0,185.67207,evaluation
174.0,159.20389,evaluation
143.0,143.62154,evaluation
152.0,160.32796,evaluation
147.0,139.17009,evaluation
128.0,121.18545,evaluation
140.0,126.09875,evaluation
175.0,132.59938,evaluation
201.0,154.23611,evaluation
189.0,137.9197,evaluation
173.0,137.38034,evaluation
167.0,127.54167,evaluation
136.0,105.35393,evaluation
127.0,103.35648,evaluation
111.0,87.14485,evaluation
92.0,78.03183,evaluation
89.0,81.2326,evaluation
91.0,79.965744,evaluation
85.0,75.78505,evaluation
86.0,79.34695,evaluation
107.0,106.47735,evaluation
130.0,128.21146,evaluation
136.0,141.29059,evaluation
151.0,133.88676,evaluation
150.0,116.76461,evaluation
135.0,107.10666,evaluation
97.0,100.87265,evaluation
97.0,102.95207,evaluation
110.0,111.54582,evaluation
140.0,121.087204,evaluation
132.0,141.26228,evaluation
146.0,126.20352,evaluation
132.0,167.81046,evaluation
191.0,157.05408,evaluation
139.0,110.54851,evaluation
138.0,123.77396,evaluation
121.0,104.18317,evaluation
74.0,75.62045,evaluation
68.0,67.54695,evaluation
75.0,62.61405,evaluation
64.0,56.90575,evaluation
58.0,51.57118,evaluation
61.0,68.92244,evaluation
85.0,106.17418,evaluation
138.0,130.06427,evaluation
185.0,170.38824,evaluation
175.0,144.1003,evaluation
178.0,144.49695,evaluation
178.0,130.06349,evaluation
206.0,122.47058,evaluation
152.0,94.00774,evaluation
155.0,98.01877,evaluation
