actual,prediction,split
199.0,233.46673615571515,evaluation
190.0,204.1610495913037,evaluation
168.0,229.2324865600448,evaluation
141.0,221.463299383313,evaluation
110.0,177.78869571710837,evaluation
111.0,159.488055248915,evaluation
111.0,138.4038732965714,evaluation
99.0,124.93069701278635,evaluation
105.0,130.71827336366218,evaluation
113.0,117.21856036020915,evaluation
134.0,135.25482200037263,evaluation
141.0,138.69092248408154,evaluation
146.0,138.8547275672548,evaluation
147.0,144.35446844405064,evaluation
145.0,137.02069721490412,evaluation
140.0,132.01517803387864,evaluation
141.0,138.90828873632424,evaluation
132.0,121.96300847459072,evaluation
139.0,127.7254201971274,evaluation
155.0,185.246353116037,evaluation
162.0,203.26295284827916,evaluation
186.0,190.8294010889932,evaluation
204.0,189.68041534905203,evaluation
185.0,178.02826368676608,evaluation
119.0,147.71782315367273,evaluation
121.0,135.42198671685802,evaluation
134.0,135.39924525272514,evaluation
134.0,155.71450836696093,evaluation
149.0,154.6724338040954,evaluation
156.0,158.67027109274747,evaluation
168.0,158.57156127559833,evaluation
171.0,149.2483479623173,evaluation
161.0,151.76074557448032,evaluation
162.0,144.65982439814704,evaluation
175.0,165.74892901982568,evaluation
177.0,179.89016554407684,evaluation
169.0,171.30596100344886,evaluation
177.0,166.96798740410398,evaluation
179.0,156.19223023619907,evaluation
177.0,158.13031924752093,evaluation
180.0,164.63916631125963,evaluation
200.0,191.3080383048272,evaluation
206.0,201.17968214542395,evaluation
224.0,234.13436525939304,evaluation
257.0,225.06912088183424,evaluation
307.0,244.35185915377812,evaluation
335.0,235.26257656084644,evaluation
309.0,219.34011423280432,evaluation
276.0,223.36324720075652,evaluation
246.0,215.4798747675641,evaluation
240.0,213.52262997012664,evaluation
230.0,205.7501285600699,evaluation
219.0,208.13154836896612,evaluation
232.0,185.42379587827747,evaluation
184.0,172.38550514498894,evaluation
155.0,155.06281034925013,evaluation
128.0,137.36650923921766,evaluation
133.0,127.5464796835288,evaluation
122.0,158.23231033838942,evaluation
167.0,187.6722386566097,evaluation
180.0,235.6585962455907,evaluation
251.0,297.6468724603174,evaluation
311.0,265.09975935846563,evaluation
235.0,233.05980410052916,evaluation
204.0,168.7261381481481,evaluation
156.0,151.2252447751323,evaluation
155.0,156.18537382546512,evaluation
221.0,229.64831414161827,evaluation
238.0,248.0236701388889,evaluation
313.0,268.5535021825397,evaluation
295.0,297.28981997354515,evaluation
273.0,190.76543840388007,evaluation
254.0,155.67788776455032,evaluation
212.0,151.75893558201062,evaluation
146.0,144.54438683862438,evaluation
130.0,121.02465079365082,evaluation
136.0,126.3407612433863,evaluation
117.0,146.76626690820257,evaluation
101.0,130.61347964462436,evaluation
86.0,118.27272288685862,evaluation
91.0,111.87468387660134,evaluation
91.0,124.28570734126993,evaluation
121.0,122.38254089506168,evaluation
226.0,186.7778370590828,evaluation
172.0,231.9728841062352,evaluation
205.0,218.99040496031748,evaluation
216.0,238.46896944223977,evaluation
233.0,231.80181959922567,evaluation
219.0,215.7096364417989,evaluation
230.0,197.26563152116404,evaluation
221.0,199.06205616622583,evaluation
235.0,218.2816606746032,evaluation
318.0,286.8121605268959,evaluation
364.0,298.7566142454767,evaluation
339.0,301.1510995069745,evaluation
328.0,297.4071427910053,evaluation
273.0,264.9223256360585,evaluation
233.0,235.0035977902402,evaluation
216.0,200.63573490721245,evaluation
189.0,191.5866306690827,evaluation
163.0,171.36830875189162,evaluation
130.0,144.33921452293123,evaluation
114.0,129.1678376689172,evaluation
106.0,113.7668976850126,evaluation
101.0,105.63373304551146,evaluation
107.0,107.16112244734876,evaluation
160.0,132.21200381743805,evaluation
193.0,152.39250727538013,evaluation
211.0,168.65084996767723,evaluation
232.0,180.26740704563127,evaluation
243.0,187.94500914449264,evaluation
234.0,206.820925657401,evaluation
219.0,217.55411576006875,evaluation
184.0,194.516373463996,evaluation
178.0,174.55593337546853,evaluation
197.0,183.95205751890197,evaluation
232.0,231.5454117143354,evaluation
266.0,258.93335500205814,evaluation
221.0,206.88615822618817,evaluation
219.0,213.17126088027808,evaluation
218.0,215.33359414597751,evaluation
208.0,182.1169604636093,evaluation
182.0,163.4980991451237,evaluation
199.0,179.0655871090418,evaluation
202.0,176.85850963753052,evaluation
175.0,184.757329803835,evaluation
158.0,177.49186262236327,evaluation
172.0,177.50705429794357,evaluation
178.0,168.4552265434937,evaluation
141.0,163.70890963236778,evaluation
127.0,142.7336937953548,evaluation
127.0,142.89350672398578,evaluation
195.0,174.3235678946785,evaluation
219.0,172.3191625102775,evaluation
182.0,167.40519534245098,evaluation
166.0,155.9019485776776,evaluation
161.0,145.85688272576417,evaluation
183.0,150.5020193579984,evaluation
183.0,148.2229702411476,evaluation
169.0,169.11694830968523,evaluation
177.0,173.54569376025827,evaluation
173.0,173.06477671729053,evaluation
164.0,174.49517417729948,evaluation
161.0,135.35736703837256,evaluation
151.0,119.90179501756448,evaluation
144.0,123.52120311399376,evaluation
134.0,133.8105487672454,evaluation
141.0,133.29573577402218,evaluation
144.0,136.80651090998887,evaluation
141.0,120.90996590624567,evaluation
113.0,105.44652363060136,evaluation
107.0,108.83696411035996,evaluation
130.0,111.7467198462642,evaluation
144.0,151.32137526051577,evaluation
153.0,159.92642718348907,evaluation
167.0,177.2418820732351,evaluation
167.0,196.1587735640467,evaluation
183.0,171.26758196800156,evaluation
155.0,165.82179034632253,evaluation
149.0,150.53072108643497,evaluation
153.0,132.56510644120146,evaluation
