actual,prediction
199.0,269.3333333333333
190.0,238.66666666666663
168.0,229.33333333333331
141.0,216.66666666666663
110.0,203.0
111.0,164.66666666666666
111.0,165.0
99.0,147.33333333333334
105.0,158.66666666666666
113.0,139.0
134.0,148.33333333333334
141.0,156.66666666666666
146.0,167.66666666666666
147.0,164.75
145.0,161.33333333333334
140.0,149.66666666666666
141.0,158.0
132.0,163.83333333333334
139.0,176.41666666666666
155.0,187.58333333333331
162.0,198.66666666666663
186.0,203.16666666666663
204.0,219.0
185.0,197.33333333333331
119.0,178.08333333333334
121.0,168.66666666666666
134.0,141.16666666666666
134.0,156.0
149.0,159.08333333333334
156.0,159.83333333333334
168.0,160.25
171.0,148.16666666666666
161.0,140.08333333333334
162.0,144.58333333333334
175.0,164.5
177.0,192.91666666666663
169.0,191.91666666666663
177.0,190.25
179.0,202.16666666666663
177.0,191.5
180.0,200.91666666666663
200.0,197.58333333333331
206.0,209.16666666666663
224.0,244.58333333333331
257.0,269.4166666666667
307.0,286.0833333333333
335.0,311.6666666666667
309.0,268.8333333333333
276.0,242.0
246.0,222.25
240.0,201.91666666666663
230.0,201.33333333333331
219.0,198.83333333333331
232.0,181.0
184.0,175.33333333333334
155.0,166.08333333333334
128.0,170.0
133.0,168.58333333333334
122.0,198.75
167.0,240.25
180.0,307.5833333333333
251.0,361.5
311.0,333.5
235.0,324.4166666666667
204.0,251.83333333333331
156.0,210.5
155.0,207.25
221.0,269.9166666666667
238.0,349.0833333333333
313.0,429.9166666666667
295.0,466.0
273.0,328.75
254.0,290.1666666666667
212.0,287.4166666666667
146.0,218.58333333333331
130.0,160.33333333333334
136.0,158.25
117.0,184.91666666666663
101.0,175.58333333333334
86.0,157.25
91.0,149.41666666666666
91.0,163.16666666666666
121.0,190.33333333333331
226.0,257.1666666666667
172.0,279.3333333333333
205.0,292.4166666666667
216.0,291.1666666666667
233.0,291.4166666666667
219.0,262.0833333333333
230.0,248.08333333333331
221.0,262.75
235.0,269.0833333333333
318.0,299.0833333333333
364.0,311.8333333333333
339.0,314.25
328.0,303.5833333333333
273.0,271.6666666666667
233.0,221.91666666666663
216.0,193.33333333333331
189.0,171.16666666666666
163.0,147.83333333333334
130.0,129.25
114.0,117.66666666666669
106.0,102.41666666666669
101.0,97.83333333333331
107.0,99.16666666666669
160.0,120.41666666666669
193.0,134.25
211.0,151.08333333333334
232.0,178.91666666666666
243.0,193.0
234.0,191.5
219.0,204.33333333333331
184.0,212.08333333333331
178.0,207.83333333333331
197.0,206.66666666666663
232.0,235.66666666666663
266.0,260.0833333333333
221.0,201.5
219.0,208.66666666666663
218.0,203.33333333333331
208.0,176.91666666666666
182.0,160.0
199.0,161.33333333333334
202.0,158.16666666666666
175.0,152.0
158.0,149.41666666666666
172.0,144.0
178.0,150.25
141.0,160.91666666666666
127.0,169.58333333333334
127.0,189.75
195.0,221.0
219.0,204.5
182.0,199.08333333333331
166.0,178.83333333333334
161.0,160.58333333333334
183.0,167.0
183.0,175.5
169.0,179.58333333333334
177.0,178.66666666666666
173.0,178.08333333333334
164.0,190.0
161.0,164.33333333333334
151.0,135.66666666666666
144.0,120.0
134.0,122.66666666666669
141.0,117.33333333333331
144.0,115.0
141.0,106.0
113.0,120.66666666666669
107.0,101.66666666666669
130.0,119.66666666666669
144.0,149.0
153.0,161.0
167.0,179.66666666666666
167.0,189.0
183.0,177.66666666666666
155.0,189.0
149.0,175.66666666666666
153.0,170.33333333333334
144.0,166.33333333333334
171.0,193.0
188.0,219.33333333333331
177.0,249.66666666666663
219.0,269.0
223.0,282.0
194.0,266.3333333333333
138.0,223.0
136.0,207.66666666666663
112.0,172.66666666666666
114.0,150.33333333333334
112.0,136.0
113.0,158.33333333333334
122.0,136.0
147.0,130.0
155.0,125.0
171.0,118.0
136.0,119.0
96.0,90.66666666666669
84.0,78.0
70.0,68.66666666666667
62.0,79.66666666666667
64.0,80.33333333333333
72.0,77.33333333333333
96.0,105.33333333333331
123.0,158.33333333333334
233.0,298.3333333333333
235.0,310.6666666666667
216.0,287.0
509.0,257.0
576.0,262.3333333333333
425.0,249.66666666666663
412.0,230.33333333333331
437.0,220.66666666666663
342.0,199.0
321.0,215.33333333333331
328.0,213.66666666666663
366.0,214.66666666666663
387.0,233.33333333333331
326.0,256.6666666666667
411.0,244.33333333333331
326.0,222.66666666666663
342.0,211.33333333333331
321.0,211.66666666666663
239.0,286.3333333333333
196.0,266.0
194.0,244.66666666666663
186.0,226.0
205.0,242.33333333333331
237.0,312.3333333333333
235.0,448.6666666666667
226.0,504.0
229.0,592.0
249.0,487.6666666666667
299.0,412.3333333333333
276.0,388.0
185.0,386.0
189.0,329.6666666666667
161.0,270.3333333333333
172.0,205.33333333333331
183.0,163.66666666666666
184.0,180.0
208.0,181.33333333333331
204.0,156.91666666666666
160.0,165.08333333333334
199.0,189.83333333333331
224.0,233.83333333333331
239.0,232.25
299.0,242.66666666666663
296.0,235.0
298.0,228.33333333333331
261.0,216.08333333333331
239.0,220.91666666666663
237.0,232.25
260.0,271.0833333333333
299.0,297.4166666666667
353.0,344.9166666666667
208.0,343.1666666666667
287.0,292.5
340.0,230.5
255.0,197.66666666666663
199.0,174.83333333333334
189.0,142.16666666666666
199.0,143.66666666666666
153.0,144.25
122.0,121.66666666666669
116.0,121.91666666666669
140.0,117.16666666666669
152.0,140.33333333333334
174.0,172.08333333333334
216.0,195.66666666666663
204.0,188.25
182.0,178.91666666666666
177.0,176.08333333333334
201.0,184.33333333333331
207.0,217.25
196.0,212.25
128.0,190.08333333333331
114.0,160.83333333333334
91.0,119.25
85.0,112.91666666666669
75.0,114.66666666666669
81.0,147.83333333333334
74.0,149.66666666666666
79.0,119.0
77.0,119.58333333333331
77.0,122.83333333333331
80.0,128.33333333333334
80.0,128.33333333333334
90.0,141.83333333333334
107.0,153.16666666666666
140.0,218.16666666666663
190.0,175.75
151.0,152.08333333333334
172.0,146.33333333333334
144.0,148.41666666666666
153.0,161.0
127.0,137.25
123.0,130.5
122.0,139.16666666666666
139.0,151.58333333333334
139.0,158.33333333333334
163.0,164.83333333333334
164.0,172.08333333333334
173.0,198.91666666666663
171.0,187.41666666666663
150.0,177.33333333333334
125.0,158.75
121.0,139.16666666666666
101.0,123.25
83.0,106.83333333333331
68.0,84.41666666666667
72.0,91.08333333333331
72.0,82.75
72.0,81.25
70.0,81.33333333333333
81.0,91.25
86.0,97.25
99.0,98.08333333333331
103.0,99.58333333333331
105.0,105.75
112.0,102.5
103.0,108.08333333333331
94.0,105.58333333333331
99.0,114.16666666666669
125.0,124.5
164.0,143.91666666666666
162.0,145.41666666666666
145.0,148.0
130.0,141.25
119.0,132.66666666666666
138.0,123.08333333333331
173.0,138.5
145.0,127.91666666666669
123.0,133.66666666666666
152.0,129.08333333333334
124.0,131.5
125.0,118.66666666666669
143.0,115.41666666666669
134.0,120.25
156.0,132.66666666666666
149.0,137.33333333333334
155.0,136.0
156.0,136.33333333333334
146.0,141.83333333333334
190.0,199.75
191.0,228.5
223.0,249.16666666666663
216.0,215.83333333333331
239.0,206.16666666666663
228.0,204.5
207.0,212.08333333333331
207.0,208.0
201.0,219.91666666666663
252.0,212.5
230.0,225.16666666666663
237.0,191.83333333333331
208.0,179.33333333333334
185.0,181.16666666666663
164.0,170.91666666666666
162.0,163.5
146.0,155.41666666666666
138.0,138.41666666666666
119.0,132.33333333333334
107.0,117.75
88.0,112.25
103.0,120.66666666666669
100.0,133.08333333333334
106.0,143.91666666666666
147.0,114.91666666666669
156.0,131.58333333333334
155.0,120.75
164.0,107.41666666666669
162.0,104.41666666666669
153.0,119.25
150.0,191.16666666666663
218.0,285.0833333333333
266.0,388.0
256.0,392.1666666666667
227.0,320.5
212.0,283.25
150.0,210.91666666666663
130.0,184.25
127.0,129.66666666666666
124.0,126.91666666666669
124.0,112.25
114.0,104.16666666666669
100.0,100.91666666666669
96.0,110.75
99.0,128.83333333333334
101.0,134.75
105.0,140.16666666666666
116.0,148.66666666666666
119.0,135.83333333333334
112.0,124.5
106.0,121.25
105.0,114.33333333333331
99.0,114.58333333333331
90.0,108.41666666666669
90.0,88.83333333333333
97.0,101.33333333333331
105.0,95.91666666666669
100.0,98.25
108.0,89.41666666666667
123.0,103.41666666666669
140.0,126.08333333333331
141.0,131.75
156.0,121.25
197.0,146.91666666666666
147.0,159.91666666666666
125.0,176.33333333333334
129.0,185.16666666666663
174.0,204.33333333333331
169.0,222.83333333333331
193.0,288.5833333333333
243.0,354.5833333333333
267.0,368.5833333333333
244.0,284.0
243.0,270.0
183.0,263.5833333333333
188.0,237.25
197.0,214.91666666666663
188.0,202.08333333333331
182.0,184.33333333333331
135.0,187.58333333333331
177.0,195.25
161.0,237.91666666666663
151.0,242.41666666666663
160.0,253.5
171.0,274.5
180.0,243.25
146.0,198.58333333333331
153.0,136.08333333333334
94.0,130.41666666666666
117.0,121.58333333333331
135.0,130.58333333333334
135.0,139.75
152.0,213.16666666666663
285.0,266.75
309.0,321.1666666666667
328.0,320.0833333333333
289.0,293.5833333333333
199.0,233.41666666666663
145.0,225.91666666666663
133.0,198.16666666666663
141.0,177.66666666666666
136.0,156.58333333333334
134.0,145.83333333333334
130.0,156.83333333333334
133.0,152.16666666666666
138.0,154.0
135.0,156.75
144.0,160.66666666666666
134.0,143.0
110.0,114.66666666666669
86.0,96.33333333333331
84.0,95.0
99.0,99.0
103.0,107.0
108.0,116.66666666666669
123.0,126.66666666666669
138.0,152.33333333333334
168.0,184.0
182.0,193.66666666666663
221.0,192.33333333333331
204.0,184.33333333333331
174.0,164.0
143.0,158.66666666666666
152.0,155.0
147.0,145.0
128.0,137.66666666666666
140.0,134.0
175.0,139.0
201.0,147.0
189.0,140.0
173.0,139.0
167.0,130.66666666666666
136.0,103.0
127.0,100.66666666666669
111.0,82.33333333333333
92.0,79.0
89.0,86.66666666666667
91.0,92.0
85.0,88.33333333333333
86.0,92.33333333333331
107.0,119.33333333333331
130.0,154.33333333333334
136.0,161.33333333333334
151.0,152.0
150.0,136.33333333333334
135.0,122.0
97.0,122.0
97.0,110.33333333333331
110.0,112.0
140.0,110.0
132.0,138.0
146.0,125.33333333333331
132.0,146.66666666666666
191.0,146.33333333333334
139.0,128.0
138.0,123.33333333333331
121.0,98.0
74.0,80.33333333333333
68.0,66.66666666666667
75.0,57.66666666666666
64.0,56.66666666666666
58.0,57.0
61.0,73.33333333333333
85.0,112.0
138.0,143.0
185.0,225.33333333333331
175.0,223.0
178.0,196.66666666666663
178.0,185.66666666666663
206.0,118.33333333333331
152.0,84.0
155.0,74.66666666666667
160.0,76.66666666666667
132.0,104.66666666666669
105.0,125.66666666666669
123.0,140.0
147.0,183.66666666666663
135.0,151.33333333333334
128.0,142.66666666666666
85.0,111.66666666666669
46.0,88.0
46.0,49.66666666666666
51.0,43.333333333333336
38.0,44.333333333333336
42.0,47.333333333333336
45.0,52.333333333333336
52.0,115.33333333333331
83.0,99.0
81.0,108.66666666666669
95.0,105.66666666666669
85.0,93.66666666666669
80.0,104.66666666666669
79.0,105.66666666666669
81.0,97.0
85.0,89.33333333333333
88.0,96.0
92.0,108.0
96.0,114.0
100.0,105.16666666666669
108.0,107.0
116.0,115.0
113.0,113.75
99.0,98.66666666666669
89.0,85.33333333333333
78.0,68.08333333333333
53.0,63.25
63.0,59.5
57.0,49.91666666666666
56.0,46.75
63.0,65.5
73.0,77.41666666666667
89.0,96.25
97.0,104.0
102.0,114.91666666666669
102.0,103.0
99.0,95.91666666666669
90.0,92.66666666666669
89.0,78.08333333333333
91.0,82.33333333333333
91.0,83.0
88.0,76.83333333333333
138.0,88.5
145.0,77.0
110.0,79.25
116.0,77.75
90.0,68.25
68.0,57.66666666666666
57.0,56.91666666666666
56.0,46.91666666666666
30.0,36.66666666666666
38.0,36.75
50.0,45.833333333333336
67.0,46.583333333333336
67.0,50.833333333333336
81.0,72.58333333333333
127.0,106.66666666666669
177.0,115.08333333333331
205.0,127.0
132.0,121.41666666666669
123.0,112.66666666666669
116.0,113.66666666666669
139.0,124.08333333333331
136.0,126.83333333333331
171.0,117.91666666666669
158.0,111.66666666666669
141.0,100.83333333333331
156.0,95.08333333333331
162.0,94.91666666666669
160.0,99.66666666666669
132.0,95.66666666666669
108.0,90.91666666666669
102.0,77.16666666666667
90.0,72.0
72.0,68.08333333333333
67.0,63.083333333333336
69.0,59.833333333333336
64.0,57.75
67.0,60.41666666666666
83.0,109.75
183.0,161.58333333333334
266.0,195.33333333333331
251.0,193.91666666666663
244.0,196.0
235.0,166.75
195.0,166.33333333333334
157.0,128.66666666666666
135.0,124.66666666666669
116.0,120.83333333333331
102.0,116.33333333333331
97.0,123.91666666666669
118.0,123.25
205.0,152.75
178.0,156.41666666666666
177.0,130.58333333333334
116.0,111.0
91.0,89.16666666666667
75.0,82.58333333333333
100.0,121.58333333333331
143.0,156.66666666666666
197.0,164.66666666666666
313.0,185.58333333333331
288.0,161.41666666666666
244.0,150.08333333333334
235.0,150.75
228.0,138.33333333333334
186.0,144.5
168.0,152.33333333333334
136.0,123.5
140.0,124.91666666666669
167.0,135.33333333333334
166.0,126.41666666666669
204.0,119.0
169.0,105.0
110.0,93.08333333333331
106.0,81.25
75.0,79.58333333333333
80.0,80.5
117.0,149.58333333333334
147.0,209.25
189.0,272.5833333333333
244.0,307.8333333333333
280.0,270.6666666666667
235.0,226.0
191.0,257.1666666666667
208.0,237.41666666666663
199.0,249.75
207.0,242.66666666666663
278.0,232.33333333333331
241.0,260.0
207.0,286.0
163.0,287.75
208.0,331.4166666666667
322.0,391.5833333333333
412.0,403.5833333333333
392.0,310.6666666666667
227.0,170.66666666666666
145.0,134.33333333333334
173.0,131.66666666666666
171.0,138.66666666666666
162.0,155.0
197.0,181.66666666666663
241.0,268.0
274.0,253.66666666666663
283.0,267.0
313.0,267.6666666666667
269.0,260.3333333333333
248.0,262.6666666666667
245.0,241.33333333333331
248.0,238.0
244.0,247.66666666666663
239.0,240.66666666666663
251.0,242.0
272.0,242.33333333333331
255.0,244.58333333333331
266.0,256.5
272.0,258.25
333.0,232.25
212.0,175.33333333333334
156.0,141.0
141.0,133.83333333333334
127.0,119.83333333333331
107.0,118.5
106.0,115.16666666666669
97.0,114.16666666666669
128.0,136.0
262.0,165.0
196.0,147.33333333333334
124.0,135.33333333333334
155.0,125.0
157.0,110.66666666666669
166.0,110.33333333333331
167.0,134.33333333333334
185.0,169.0
301.0,230.33333333333331
328.0,255.66666666666663
349.0,252.66666666666663
218.0,225.66666666666663
160.0,216.33333333333331
153.0,224.0
161.0,225.66666666666663
123.0,222.66666666666663
111.0,223.66666666666663
99.0,207.0
99.0,194.0
110.0,187.66666666666663
101.0,153.0
111.0,183.66666666666663
144.0,223.0
215.0,231.0
272.0,247.33333333333331
263.0,231.33333333333331
226.0,221.33333333333331
197.0,192.66666666666663
151.0,131.66666666666666
129.0,114.0
147.0,130.33333333333334
172.0,157.66666666666666
208.0,203.66666666666663
195.0,229.66666666666663
158.0,218.33333333333331
162.0,219.33333333333331
161.0,203.0
153.0,187.0
172.0,165.0
140.0,169.66666666666666
135.0,168.33333333333334
125.0,148.66666666666666
122.0,155.33333333333334
110.0,150.66666666666666
110.0,145.0
102.0,150.66666666666666
106.0,174.33333333333334
133.0,191.66666666666663
184.0,198.66666666666663
182.0,203.0
174.0,200.0
178.0,175.33333333333334
167.0,171.66666666666666
153.0,166.66666666666666
160.0,167.0
168.0,170.33333333333334
161.0,173.66666666666666
164.0,176.0
145.0,177.33333333333334
140.0,171.0
150.0,162.0
135.0,157.0
125.0,149.33333333333334
112.0,146.66666666666666
107.0,129.33333333333334
122.0,109.66666666666669
127.0,121.66666666666669
106.0,110.0
90.0,103.33333333333331
85.0,116.0
92.0,133.0
152.0,156.33333333333334
105.0,124.66666666666669
78.0,78.66666666666667
58.0,74.0
51.0,66.33333333333333
58.0,64.0
53.0,69.66666666666667
58.0,75.0
72.0,97.0
70.0,168.66666666666666
77.0,207.0
85.0,201.0
90.0,200.66666666666663
117.0,184.66666666666663
118.0,179.33333333333334
132.0,164.33333333333334
130.0,168.0
138.0,123.33333333333331
97.0,145.0
117.0,154.0
116.0,125.66666666666669
149.0,124.33333333333331
169.0,156.0
167.0,156.66666666666666
190.0,173.0
179.0,245.66666666666663
197.0,250.33333333333331
206.0,244.66666666666663
164.0,219.33333333333331
207.0,199.66666666666663
155.0,195.66666666666663
140.0,164.33333333333334
169.0,143.66666666666666
151.0,132.66666666666666
116.0,120.0
113.0,132.0
113.0,123.0
116.0,117.0
113.0,121.33333333333331
119.0,125.0
101.0,115.0
83.0,98.33333333333331
69.0,80.33333333333333
69.0,66.33333333333333
57.0,62.0
45.0,51.333333333333336
45.0,47.66666666666666
62.0,52.0
84.0,87.0
117.0,107.33333333333331
112.0,121.0
117.0,131.66666666666666
113.0,135.16666666666666
112.0,123.91666666666669
117.0,143.08333333333334
147.0,118.25
116.0,119.25
107.0,111.33333333333331
117.0,119.83333333333331
157.0,121.91666666666669
199.0,143.66666666666666
144.0,141.41666666666666
139.0,130.33333333333334
119.0,103.25
83.0,75.0
58.0,50.75
50.0,41.91666666666666
44.0,40.41666666666666
35.0,44.083333333333336
41.0,44.41666666666666
51.0,45.5
52.0,63.25
75.0,76.83333333333333
83.0,88.0
85.0,87.5
75.0,75.33333333333333
77.0,78.16666666666667
81.0,84.16666666666667
85.0,110.33333333333331
91.0,98.5
92.0,89.5
90.0,88.25
83.0,88.5
67.0,77.08333333333333
77.0,87.5
73.0,89.83333333333333
77.0,80.83333333333333
63.0,68.08333333333333
50.0,55.91666666666666
46.0,48.91666666666666
36.0,41.16666666666666
29.0,40.833333333333336
33.0,38.833333333333336
35.0,40.25
42.0,38.583333333333336
59.0,52.333333333333336
70.0,69.0
69.0,72.66666666666667
67.0,71.91666666666667
88.0,72.91666666666667
80.0,78.91666666666667
70.0,75.91666666666667
69.0,66.5
122.0,77.0
78.0,69.33333333333333
70.0,67.33333333333333
73.0,77.5
90.0,77.58333333333333
108.0,87.5
140.0,89.91666666666667
112.0,83.5
83.0,79.33333333333333
74.0,72.83333333333333
61.0,67.33333333333333
55.0,67.58333333333333
42.0,44.083333333333336
38.0,40.16666666666666
27.0,42.083333333333336
34.0,42.0
47.0,70.41666666666667
79.0,100.66666666666669
134.0,111.91666666666669
149.0,118.5
141.0,128.83333333333334
150.0,119.16666666666669
97.0,127.16666666666669
91.0,104.58333333333331
86.0,115.0
123.0,111.5
112.0,109.83333333333331
163.0,122.0
161.0,128.58333333333334
175.0,130.66666666666666
156.0,133.77666666666667
182.0,118.33333333333331
129.0,100.0
112.0,100.66666666666669
107.0,88.33333333333333
89.0,73.66666666666667
64.0,64.66666666666667
64.0,66.0
55.0,64.0
63.0,75.33333333333333
78.0,107.33333333333331
123.0,148.66666666666666
156.0,231.66666666666663
173.0,236.33333333333331
166.0,211.0
171.0,193.33333333333331
175.0,192.0
215.0,169.66666666666666
216.0,158.0
157.0,161.66666666666666
