actual,prediction
199.0,219.0
190.0,185.0
168.0,179.0
141.0,188.0
110.0,190.0
111.0,151.0
111.0,168.0
99.0,158.0
105.0,169.0
113.0,172.0
134.0,157.0
141.0,169.0
146.0,185.0
147.0,180.0
145.0,166.0
140.0,162.0
141.0,171.0
132.0,191.0
139.0,207.0
155.0,211.0
162.0,218.0
186.0,217.0
204.0,223.0
185.0,204.0
119.0,194.0
121.0,190.0
134.0,139.0
134.0,141.0
149.0,150.0
156.0,155.0
168.0,150.0
171.0,151.0
161.0,147.0
162.0,145.0
175.0,163.0
177.0,216.0
169.0,222.0
177.0,229.0
179.0,222.0
177.0,216.0
180.0,221.0
200.0,216.0
206.0,213.0
224.0,240.0
257.0,285.0
307.0,312.0
335.0,331.0
309.0,323.0
276.0,277.0
246.0,235.0
240.0,193.0
230.0,201.0
219.0,208.0
232.0,205.0
184.0,161.0
155.0,135.0
128.0,179.0
133.0,200.0
122.0,248.0
167.0,296.0
180.0,381.0
251.0,439.0
311.0,338.0
235.0,406.0
204.0,344.0
156.0,320.0
155.0,243.0
221.0,272.0
238.0,460.0
313.0,547.0
295.0,471.0
273.0,343.0
254.0,332.0
212.0,345.0
146.0,343.0
130.0,262.0
136.0,243.0
117.0,234.0
101.0,210.0
86.0,185.0
91.0,175.0
91.0,222.0
121.0,263.0
226.0,299.0
172.0,262.0
205.0,266.0
216.0,312.0
233.0,283.0
219.0,266.0
230.0,271.0
221.0,294.0
235.0,289.0
318.0,293.0
364.0,291.0
339.0,291.0
328.0,276.0
273.0,227.0
233.0,196.0
216.0,157.0
189.0,128.0
163.0,110.0
130.0,96.0
114.0,89.0
106.0,80.0
101.0,83.0
107.0,83.0
160.0,88.0
193.0,113.0
211.0,144.0
232.0,196.0
243.0,182.0
234.0,185.0
219.0,207.0
184.0,234.0
178.0,206.0
197.0,189.0
232.0,224.0
266.0,291.0
221.0,186.0
219.0,246.0
218.0,218.0
208.0,183.0
182.0,145.0
199.0,162.0
202.0,117.0
175.0,95.0
158.0,113.0
172.0,114.0
178.0,107.0
141.0,145.0
127.0,171.0
127.0,229.0
195.0,287.0
219.0,268.0
182.0,222.0
166.0,216.0
161.0,177.0
183.0,188.0
183.0,194.0
169.0,185.0
177.0,183.0
173.0,184.0
164.0,183.0
161.0,199.0
151.0,155.0
144.0,121.0
134.0,108.0
141.0,100.0
144.0,101.0
141.0,94.0
113.0,118.0
107.0,88.0
130.0,105.0
144.0,143.0
153.0,157.0
167.0,178.0
167.0,188.0
183.0,195.0
155.0,197.0
149.0,197.0
153.0,188.0
144.0,189.0
171.0,179.0
188.0,188.0
177.0,211.0
219.0,280.0
223.0,323.0
194.0,277.0
138.0,256.0
136.0,248.0
112.0,206.0
114.0,161.0
112.0,153.0
113.0,177.0
122.0,134.0
147.0,130.0
155.0,129.0
171.0,119.0
136.0,107.0
96.0,83.0
84.0,72.0
70.0,62.0
